Name+Seed,Pure Text,Rank,Conference,W-L,AP_Preseason_Rank,First_Four_Team,AQ/Conference_Winner,AdjEM,AdjO,R_AdjO,AdjD,R_AdjD,AdjT,R_AdjT,Luck,R_Luck,AdjEM1,R_AdjEM1,OppO,R_OppO,OppD,R_OppD,AdjEM2,R_AdjEM2,W_64,W_32,W_16,W_8,W_4,W_2
Virginia 1,Virginia,1,ACC,31-2,Not Ranked,0,1,32.15,116.5,21,84.4,1,59.2,351,0.032,98,9.99,25,110.9,29,100.9,26,0.22,160,0,0,0,0,0,0
UMBC 16,UMBC,184,AE,24-10,Not Ranked,0,1,-1.91,103.4,208,105.3,170,68.2,177,0.145,1,-5.63,296,102.5,286,108.2,296,-3.4,278,1,0,0,0,0,0
Creighton 8,Creighton,27,BE,21-11,Not Ranked,0,0,17.28,116.5,22,99.2,61,70.8,53,-0.018,226,9.23,38,111.1,20,101.9,55,-3.82,291,0,0,0,0,0,0
Kansas St. 9,Kansas St.,44,B12,22-11,Not Ranked,0,0,14.75,112.2,60,97.4,41,65.5,302,0.056,56,9.2,39,111.4,17,102.2,60,-6.03,321,1,1,1,0,0,0
Kentucky 5,Kentucky,18,SEC,24-10,5,0,1,20.41,116.4,25,96,23,68.6,154,-0.001,177,11.17,9,111.1,21,99.9,4,5.05,43,1,1,0,0,0,0
Davidson 12,Davidson,43,A10,21-11,Not Ranked,0,1,14.91,117.4,18,102.5,115,64.2,335,-0.051,297,1.88,107,105.9,130,104,96,1.71,118,0,0,0,0,0,0
Arizona 4,Arizona,21,P12,27-7,3,0,1,19.37,119,15,99.6,70,67.3,215,0.025,116,6.33,66,108.9,65,102.6,69,2.82,86,0,0,0,0,0,0
Buffalo 13,Buffalo,77,MAC,26-8,Not Ranked,0,1,10.49,114.3,42,103.8,138,72.8,15,-0.005,188,-1.02,165,104.8,174,105.8,167,4.08,66,1,0,0,0,0,0
Miami FL 6,Miami FL,36,ACC,22-9,13,0,0,15.71,113.3,52,97.6,45,67.1,225,0.034,95,8.17,50,109.6,50,101.4,44,-3.58,283,0,0,0,0,0,0
Loyola Chicago 11,Loyola Chicago,41,MVC,28-5,Not Ranked,0,1,15.14,111.3,68,96.2,24,65.3,312,0.058,53,0.07,140,103.8,224,103.7,89,-5.63,316,1,1,1,1,0,0
Tennessee 3,Tennessee,11,SEC,25-8,Not Ranked,0,0,22.15,114.8,40,92.7,4,66.2,271,0.04,81,11.62,4,112.2,2,100.5,15,7.56,18,1,0,0,0,0,0
Wright St. 14,Wright St.,135,Horz,25-9,Not Ranked,0,1,2.82,101.1,248,98.3,53,68.2,175,0.056,57,-4.78,274,102.6,281,107.4,257,2.3,100,0,0,0,0,0,0
Nevada 7,Nevada,24,MWC,27-7,Not Ranked,0,0,18.18,119.9,10,101.7,105,69.5,99,-0.028,259,4.45,79,107.3,90,102.9,72,4.2,61,1,1,0,0,0,0
Texas 10,Texas,39,B12,19-14,Not Ranked,0,0,15.46,109.4,94,93.9,10,65.2,315,-0.018,223,11.77,3,111.7,11,99.9,5,2.19,105,0,0,0,0,0,0
Cincinnati 2,Cincinnati,4,Amer,30-4,12,0,1,27,113.2,54,86.2,2,64.7,322,-0.004,183,3.18,89,107,97,103.8,91,-4.14,295,1,0,0,0,0,0
Georgia St. 15,Georgia St.,96,SB,24-10,Not Ranked,0,1,7.21,109,101,101.8,106,66.9,236,-0.022,238,-2.79,227,103.7,226,106.5,211,-2.88,259,0,0,0,0,0,0
Xavier 1,Xavier,14,BE,28-5,17,0,0,21.69,120.7,7,99,59,70.4,61,0.109,9,9.62,31,110.3,39,100.7,18,2.09,107,1,0,0,0,0,0
Texas Southern 16,Texas Southern,249,SWAC,15-19,Not Ranked,1,1,-7.66,105.3,173,112.9,315,71.6,35,-0.009,199,-6.74,315,101,329,107.7,273,17.47,1,0,0,0,0,0,0
