Name+Seed,Pure Text,Rank,Conference,W-L,AP_Preseason_Rank,First_Four_Team,AQ/Conference_Winner,AdjEM,AdjO,R_AdjO,AdjD,R_AdjD,AdjT,R_AdjT,Luck,R_Luck,AdjEM1,R_AdjEM1,OppO,R_OppO,OppD,R_OppD,AdjEM2,R_AdjEM2,W_64,W_32,W_16,W_8,W_4,W_2
Louisville 1,Louisville,2,BE,29-5,2,0,1,0.9721,114.6,15,81,1,67.2,112,-0.03,257,0.7358,10,105.7,11,95.7,9,0.5755,93,1,1,1,1,1,1
North Carolina A&T; 16,North Carolina A&T;,226,MEAC,19-16,Not Ranked,1,1,0.3461,89.6,317,95.3,81,66.8,127,0.017,139,0.3051,328,94.9,333,102.9,247,0.4691,217,0,0,0,0,0,0
Colorado St. 8,Colorado St.,24,MWC,25-8,Not Ranked,0,0,0.8851,117.8,7,96.5,98,65,214,-0.003,195,0.6775,48,104,66,96.7,37,0.5101,166,1,0,0,0,0,0
Missouri 9,Missouri,18,SEC,23-10,15,0,0,0.8968,115,13,93.1,48,67.4,103,-0.026,251,0.6461,73,103.5,85,97.6,60,0.4713,213,0,0,0,0,0,0
Oklahoma St. 5,Oklahoma St.,20,B12,24-8,Not Ranked,0,0,0.8936,108.4,56,88.1,9,67.7,94,-0.014,224,0.6507,71,105.2,26,99,97,0.471,214,0,0,0,0,0,0
Oregon 12,Oregon,43,P12,26-8,Not Ranked,0,1,0.8395,104.1,121,88.6,16,68.9,46,0.063,30,0.6028,95,102.8,103,98.7,86,0.3268,325,1,1,0,0,0,0
St. Louis 4,St. Louis,16,A10,27-6,Not Ranked,0,1,0.9039,108.2,58,87,7,65.1,207,-0.005,200,0.5896,106,102.6,109,99,99,0.4244,259,1,0,0,0,0,0
New Mexico St. 13,New Mexico St.,80,WAC,24-10,Not Ranked,0,1,0.7246,104,122,94.6,74,65.1,208,0.027,104,0.5263,132,101.5,139,100.4,132,0.6204,52,0,0,0,0,0,0
Memphis 6,Memphis,39,CUSA,30-4,17,0,1,0.855,107.8,64,90.7,26,69.7,28,0.02,127,0.5211,136,102.5,115,101.6,194,0.5063,171,1,0,0,0,0,0
St. Mary's 11,St. Mary's,22,WCC,27-6,Not Ranked,1,0,0.8866,115.6,11,94.6,68,64.8,223,0.04,73,0.5766,114,103,98,100,119,0.5059,173,0,0,0,0,0,0
Michigan St. 3,Michigan St.,10,B10,25-8,14,0,0,0.9325,112.8,24,87.3,8,64.4,244,0.006,164,0.7784,1,107.3,2,94.9,3,0.5232,152,1,1,0,0,0,0
Valparaiso 14,Valparaiso,66,Horz,26-7,Not Ranked,0,1,0.7761,109.8,44,97.3,106,65.9,170,0.024,113,0.4485,193,99.5,215,101.6,188,0.4323,255,0,0,0,0,0,0
Creighton 7,Creighton,15,MVC,27-7,16,0,1,0.9059,118.3,6,94.8,78,65,213,-0.021,235,0.6199,83,103.2,93,98.4,79,0.552,111,1,0,0,0,0,0
Cincinnati 10,Cincinnati,40,BE,22-11,25,0,0,0.8462,104.4,117,88.4,15,64.3,250,0.002,178,0.679,46,103.8,75,96.5,27,0.3572,308,0,0,0,0,0,0
Duke 2,Duke,6,ACC,27-5,8,0,0,0.9454,119.6,4,90.6,25,67.9,81,0.018,133,0.734,11,106.7,8,96.7,35,0.6834,19,1,1,1,0,0,0
Albany 15,Albany,147,AE,24-10,Not Ranked,0,1,0.543,100.7,170,99,134,63.1,287,0.088,13,0.3558,292,96.3,323,102,211,0.3479,314,0,0,0,0,0,0
Gonzaga 1,Gonzaga,4,WCC,31-2,21,0,1,0.9578,119.8,3,88.4,14,64.6,231,0.033,91,0.6013,96,103.5,86,99.4,109,0.625,48,1,0,0,0,0,0
Southern 16,Southern,170,SWAC,23-9,Not Ranked,0,1,0.4765,95.7,252,96.6,100,64.9,219,-0.018,232,0.1945,347,92.5,347,106.2,345,0.5949,74,0,0,0,0,0,0
Pittsburgh 8,Pittsburgh,7,BE,24-8,Not Ranked,0,0,0.9426,116.5,9,88.7,17,60.2,339,-0.059,308,0.6197,84,103.5,83,98.7,88,0.2851,339,0,0,0,0,0,0
Wichita St. 9,Wichita St.,33,MVC,26-8,Not Ranked,0,0,0.8618,109.1,50,91.3,30,64.6,233,-0.002,192,0.6229,81,104.2,58,99.2,103,0.5348,131,1,1,1,1,0,0
Wisconsin 5,Wisconsin,9,B10,23-11,23,0,0,0.9374,108.8,52,83.6,3,62,310,-0.026,250,0.7564,5,107.4,1,96.1,20,0.481,201,0,0,0,0,0,0
Mississippi 12,Mississippi,34,SEC,26-8,Not Ranked,0,1,0.8609,111.8,28,93.6,55,70.8,12,0.002,180,0.5856,109,101.9,129,98.5,81,0.3072,333,1,0,0,0,0,0
Kansas St. 4,Kansas St.,30,B12,27-7,Not Ranked,0,0,0.8677,113.2,21,94.2,64,62.8,293,0.068,26,0.66,61,104.3,50,97.8,66,0.4641,222,0,0,0,0,0,0
La Salle 13,La Salle,57,A10,21-9,Not Ranked,1,0,0.807,109.8,43,95.5,83,66.5,141,0.03,98,0.6161,87,103.4,89,98.7,89,0.5092,167,1,1,0,0,0,0
Arizona 6,Arizona,19,P12,25-7,12,0,0,0.8946,113.3,18,92,36,67,123,0.006,167,0.6899,33,104.5,44,96.7,36,0.558,105,1,1,0,0,0,0
Belmont 11,Belmont,46,OVC,26-6,Not Ranked,0,1,0.8331,109.9,42,93.9,59,67.3,107,0.01,157,0.472,170,101.9,130,103,252,0.6487,34,0,0,0,0,0,0
New Mexico 3,New Mexico,17,MWC,29-5,Not Ranked,0,1,0.9035,109.7,45,88.2,11,64.8,220,0.083,19,0.7231,15,105.3,22,95.8,10,0.6362,42,0,0,0,0,0,0
Harvard 14,Harvard,108,Ivy,19-9,Not Ranked,0,1,0.6504,106.1,83,99.8,147,64.4,245,0.015,143,0.5005,144,100.9,147,100.9,152,0.6325,46,1,0,0,0,0,0
Notre Dame 7,Notre Dame,31,BE,25-9,22,0,0,0.8676,115.3,12,95.9,90,61.6,320,0.045,62,0.6794,44,103.4,87,96.1,19,0.3561,309,0,0,0,0,0,0
Iowa St. 10,Iowa St.,37,B12,22-11,Not Ranked,0,0,0.8567,116.9,8,98.2,121,69.3,34,-0.034,268,0.6364,74,103,97,97.6,59,0.4149,270,1,0,0,0,0,0
Ohio St. 2,Ohio St.,5,B10,26-7,4,0,1,0.9475,114.7,14,86.5,6,64.3,248,0.019,131,0.7378,9,105.4,18,95.2,5,0.4153,269,1,1,1,0,0,0
Iona 15,Iona,96,MAAC,20-13,Not Ranked,0,1,0.6722,113.1,22,105.5,257,70.6,17,-0.097,333,0.5231,134,100.5,168,99.6,112,0.6238,50,0,0,0,0,0,0
