Name+Seed,Pure Text,Rank,Conference,W-L,AP_Preseason_Rank,First_Four_Team,AQ/Conference_Winner,AdjEM,AdjO,R_AdjO,AdjD,R_AdjD,AdjT,R_AdjT,Luck,R_Luck,AdjEM1,R_AdjEM1,OppO,R_OppO,OppD,R_OppD,AdjEM2,R_AdjEM2,W_64,W_32,W_16,W_8,W_4,W_2
Gonzaga 1,Gonzaga,1,WCC,26-3,1,0,1,32.95,121.8,1,88.9,7,72.5,4,-0.038,270,3.72,100,104.4,112,100.7,92,-2.55,243,0,0,0,0,0,0
Georgia St. 16,Georgia St.,150,SB,18-10,Not Ranked,0,1,1.66,101.5,202,99.8,114,67.1,178,0.062,54,-1.51,184,100.9,252,102.4,129,2.08,110,0,0,0,0,0,0
Boise St. 8,Boise St.,29,MWC,27-7,Not Ranked,0,1,16.13,108.3,78,92.2,19,64.6,307,0.027,117,5.71,75,105,96,99.3,47,0.84,141,0,0,0,0,0,0
Memphis 9,Memphis,28,Amer,21-10,12,0,0,16.18,110.4,49,94.2,33,70.3,34,-0.018,215,6.68,61,106.3,64,99.6,53,4.78,43,0,0,0,0,0,0
Connecticut 5,Connecticut,18,BE,23-9,24,0,0,19.27,113.9,22,94.6,36,64.9,292,-0.03,249,7.45,52,105.9,77,98.4,25,-3.43,266,0,0,0,0,0,0
New Mexico St. 12,New Mexico St.,82,WAC,26-6,Not Ranked,0,1,10.01,107.8,86,97.8,73,66.2,225,0.099,17,0.6,136,102.2,189,101.6,114,3.96,61,0,0,0,0,0,0
Arkansas 4,Arkansas,20,SEC,25-8,16,0,0,19.06,111.1,39,92,16,70.6,28,0.027,118,7.96,44,106.8,56,98.8,35,-2.68,248,0,0,0,0,0,0
Vermont 13,Vermont,58,AE,28-5,Not Ranked,0,1,13.04,110.7,45,97.7,72,65,290,-0.015,208,-7.58,332,99,330,106.6,304,2.16,108,0,0,0,0,0,0
Alabama 6,Alabama,25,SEC,19-13,14,0,0,17.38,116.1,15,98.7,94,71.7,13,-0.022,227,12.78,1,109.7,3,96.9,8,10.19,11,0,0,0,0,0,0
Notre Dame 11,Notre Dame,52,ACC,23-10,Not Ranked,1,0,13.71,112.6,27,98.9,97,65.6,256,0.027,119,6.4,67,106.6,59,100.2,72,3.09,87,0,0,0,0,0,0
Texas Tech 3,Texas Tech,9,B12,25-9,Not Ranked,0,0,24.8,109.7,61,84.9,1,66.5,211,-0.025,235,10.34,15,107.5,34,97.2,11,-7.9,344,0,0,0,0,0,0
Montana St. 14,Montana St.,124,BSky,27-7,Not Ranked,0,1,3.77,104.4,149,100.7,127,67.3,157,0.031,110,-6.27,310,101.9,202,108.1,350,-0.64,182,0,0,0,0,0,0
Michigan St. 7,Michigan St.,39,B10,22-12,Not Ranked,0,0,14.92,111.3,37,96.4,56,67.5,142,0.05,72,10.74,11,109.4,4,98.6,29,4.08,57,0,0,0,0,0,0
Davidson 10,Davidson,41,A10,27-6,Not Ranked,0,0,14.86,116.7,12,101.9,150,64.6,305,-0.004,184,1.45,123,102.6,173,101.2,104,-1.91,226,0,0,0,0,0,0
Duke 2,Duke,12,ACC,28-6,9,0,0,23.79,119.4,7,95.6,43,67.4,150,-0.011,202,6.18,71,107.4,39,101.2,103,-4.49,290,0,0,0,0,0,0
Cal St. Fullerton 15,Cal St. Fullerton,149,BW,21-10,Not Ranked,0,1,1.91,104.6,145,102.6,165,66,239,0.038,94,-3.15,224,100.4,282,103.5,178,-3.23,262,0,0,0,0,0,0
Baylor 1,Baylor,4,B12,26-6,8,0,0,26.52,117.9,9,91.4,14,67.2,169,0.019,140,10.89,10,107.5,33,96.6,5,-1.43,206,0,0,0,0,0,0
Norfolk St. 16,Norfolk St.,168,MEAC,24-6,Not Ranked,0,1,0.05,102.4,190,102.4,162,66.9,188,0.095,23,-10.72,358,95.1,358,105.8,281,-4.26,285,0,0,0,0,0,0
North Carolina 8,North Carolina,30,ACC,24-9,19,0,0,16.11,113.1,26,97,64,70.2,39,0.079,33,7.29,54,107.8,23,100.5,86,3.66,75,0,0,0,0,0,0
Marquette 9,Marquette,48,BE,19-12,Not Ranked,0,0,13.95,109.7,59,95.8,44,70.7,26,0,175,9.18,26,107.3,40,98.2,20,4.31,52,0,0,0,0,0,0
Saint Mary's 5,Saint Mary's,16,WCC,25-7,Not Ranked,0,0,19.72,109.7,60,90,9,63.5,338,0.037,97,6.79,59,107.1,47,100.3,77,3.78,68,0,0,0,0,0,0
Indiana 12,Indiana,35,B10,21-13,Not Ranked,1,0,15.33,107.5,91,92.2,18,67,185,-0.037,265,8.43,39,108.5,13,100.1,70,-6.07,322,0,0,0,0,0,0
UCLA 4,UCLA,8,P12,25-7,2,0,0,24.92,116.1,14,91.2,12,65.6,260,-0.028,244,8.54,37,107.4,37,98.9,38,4.3,53,0,0,0,0,0,0
Akron 13,Akron,134,MAC,24-9,Not Ranked,0,1,3.22,106,118,102.7,169,62.1,351,0.026,120,-5.51,286,100.6,269,106.1,291,-4.21,283,0,0,0,0,0,0
Texas 6,Texas,15,B12,21-11,5,0,0,20.54,111.8,33,91.3,13,63.1,341,-0.044,283,9.63,21,107.1,46,97.5,13,-7.61,341,0,0,0,0,0,0
Virginia Tech 11,Virginia Tech,22,ACC,23-12,Not Ranked,0,1,17.99,114.3,18,96.3,55,62.9,344,-0.054,303,6.55,64,107,48,100.5,85,-0.63,181,0,0,0,0,0,0
Purdue 3,Purdue,14,B10,27-7,7,0,0,22.39,121.3,3,98.9,98,65.8,247,0.035,101,9.06,30,108.8,9,99.8,60,-3.62,271,0,0,0,0,0,0
Yale 14,Yale,146,Ivy,19-11,Not Ranked,0,1,2.18,101.3,209,99.1,103,68.7,89,0.061,55,-2.18,199,102.9,164,105.1,251,0.64,144,0,0,0,0,0,0
Murray St. 7,Murray St.,27,OVC,30-2,Not Ranked,0,1,16.3,111.4,34,95.1,41,65.8,246,0.075,40,-3.75,239,101.2,235,104.9,245,4.42,51,0,0,0,0,0,0
San Francisco 10,San Francisco,21,WCC,24-9,Not Ranked,0,0,18.32,110.8,44,92.4,21,68.7,91,-0.029,248,5.53,79,105.7,79,100.2,73,2.7,96,0,0,0,0,0,0
Kentucky 2,Kentucky,3,SEC,26-7,10,0,0,26.63,120.1,4,93.5,25,67.4,154,-0.032,252,9.1,29,107,51,97.9,17,-2.79,250,0,0,0,0,0,0
Saint Peter's 15,Saint Peter's,117,MAAC,19-11,Not Ranked,0,1,4.29,98.7,260,94.4,35,66,240,-0.016,212,-2.79,212,101.3,227,104.1,206,3.68,73,0,0,0,0,0,0
Arizona 1,Arizona,2,P12,31-3,Not Ranked,0,1,27.24,119.6,5,92.4,20,72.2,8,0.046,76,6.33,69,106,75,99.7,56,-0.33,175,0,0,0,0,0,0
Wright St. 16,Wright St.,175,Horz,22-13,Not Ranked,1,1,-0.34,106.6,107,106.9,257,68.7,85,0.005,165,-7.15,326,100.1,298,107.3,338,-0.15,165,0,0,0,0,0,0
Seton Hall 8,Seton Hall,40,BE,21-10,Not Ranked,0,0,14.89,108.4,76,93.5,26,67.3,163,0.011,152,8.71,34,107.6,29,98.9,39,1.12,134,0,0,0,0,0,0
TCU 9,TCU,37,B12,20-12,Not Ranked,0,0,15.03,108.3,79,93.3,24,65.9,245,0.034,104,10.95,9,107.7,26,96.8,6,-4.6,293,0,0,0,0,0,0
Houston 5,Houston,5,Amer,29-5,15,0,1,26.51,117.3,10,90.8,11,63.9,333,-0.007,194,4.28,94,104.5,108,100.3,76,0.36,152,0,0,0,0,0,0
UAB 12,UAB,47,CUSA,27-7,Not Ranked,0,1,13.96,112.4,28,98.5,87,68.8,80,-0.04,275,-1.24,174,101.8,204,103.1,156,-2.21,236,0,0,0,0,0,0
Illinois 4,Illinois,17,B10,22-9,11,0,0,19.66,113.7,23,94,31,67.1,176,0.025,126,10.28,18,109.2,5,98.9,37,1.59,123,0,0,0,0,0,0
Chattanooga 13,Chattanooga,70,SC,27-7,Not Ranked,0,1,11.32,110,55,98.7,93,64.7,303,0.024,128,0.18,143,105.1,89,104.9,244,1.73,120,0,0,0,0,0,0
Colorado St. 6,Colorado St.,34,MWC,25-5,Not Ranked,0,0,15.53,114,20,98.4,84,65.1,280,0.13,4,5.27,84,105,93,99.8,61,-1.96,227,0,0,0,0,0,0
Michigan 11,Michigan,32,B10,17-14,6,0,0,15.7,114.2,19,98.5,88,66.3,218,-0.026,239,11.74,6,110,1,98.2,21,6.5,28,0,0,0,0,0,0
Tennessee 3,Tennessee,7,SEC,26-7,18,0,1,25.26,111.4,35,86.1,3,67.2,172,0.044,80,11.75,5,108.7,10,97,10,4.71,46,0,0,0,0,0,0
Longwood 14,Longwood,140,BSth,26-6,Not Ranked,0,1,2.68,106.2,111,103.5,190,66.1,236,0.095,21,-8.1,342,98.5,342,106.6,305,-6.97,334,0,0,0,0,0,0
Ohio St. 7,Ohio St.,31,B10,19-11,17,0,0,15.87,116.6,13,100.8,130,65,289,-0.015,205,9.49,22,108.3,18,98.8,34,2.3,103,0,0,0,0,0,0
Loyola Chicago 10,Loyola Chicago,24,MVC,25-7,Not Ranked,0,1,17.86,110.9,41,93,22,64.6,310,0.016,144,3.39,103,104.7,105,101.3,109,3.74,72,0,0,0,0,0,0
