Name+Seed,Pure Text,Rank,Conference,W-L,AP_Preseason_Rank,First_Four_Team,AQ/Conference_Winner,AdjEM,AdjO,R_AdjO,AdjD,R_AdjD,AdjT,R_AdjT,Luck,R_Luck,AdjEM1,R_AdjEM1,OppO,R_OppO,OppD,R_OppD,AdjEM2,R_AdjEM2,W_64,W_32,W_16,W_8,W_4,W_2
Ohio St. 1,Ohio St.,1,B10,32-2,3,0,1,0.9804,124.7,1,88.7,9,65.6,229,0.053,54,0.7464,21,107.7,17,98,40,0.4185,243,1,1,0,0,0,0
Texas San Antonio 16,Texas San Antonio,218,Slnd,20-13,Not Ranked,1,1,0.3472,100.4,190,106,246,68,102,0.064,35,0.3223,309,98.2,304,104.7,300,0.4033,259,0,0,0,0,0,0
George Mason 8,George Mason,27,CAA,26-6,Not Ranked,0,0,0.8964,113.1,29,93.7,44,65.8,220,-0.015,220,0.5117,142,102.5,132,102.1,164,0.5125,158,1,0,0,0,0,0
Villanova 9,Villanova,26,BE,21-11,Not Ranked,0,0,0.8969,114.6,23,95,56,66.2,195,-0.027,248,0.7562,17,107.3,23,97.2,14,0.4843,182,0,0,0,0,0,0
West Virginia 5,West Virginia,19,BE,21-11,Not Ranked,0,0,0.92,114.4,24,92.5,32,63.8,300,-0.011,207,0.822,4,110.2,2,96.5,5,0.7238,21,1,0,0,0,0,0
Clemson 12,Clemson,23,ACC,22-12,Not Ranked,1,0,0.9114,109.2,62,89.2,11,65.3,243,-0.088,327,0.6993,43,105.3,54,97.8,31,0.4888,177,0,0,0,0,0,0
Kentucky 4,Kentucky,9,SEC,26-8,2,0,1,0.9531,118.8,7,91.4,24,66.3,189,-0.051,295,0.7392,25,106.5,28,97.3,15,0.6602,44,1,1,1,1,0,0
Princeton 13,Princeton,85,Ivy,25-7,Not Ranked,0,1,0.7216,105.3,98,97,78,63.8,301,0.091,14,0.4813,166,102.4,134,103.1,220,0.5668,105,0,0,0,0,0,0
Xavier 6,Xavier,35,A10,24-7,14,0,0,0.8778,113,30,95.2,58,66.1,204,0.041,81,0.6315,70,103.8,85,99.1,69,0.6868,33,0,0,0,0,0,0
Marquette 11,Marquette,31,BE,20-14,22,0,0,0.8902,115.1,20,96,67,67.7,114,-0.076,322,0.7433,23,107.4,21,97.9,34,0.3802,281,1,1,0,0,0,0
Syracuse 3,Syracuse,11,BE,26-7,5,0,0,0.947,115.4,18,89.8,16,66.6,172,0.048,63,0.7558,18,107.6,19,97.5,21,0.4548,210,1,0,0,0,0,0
Indiana St. 14,Indiana St.,101,MVC,20-13,Not Ranked,0,1,0.6663,101.4,171,95.5,61,66.4,184,0.052,57,0.5905,91,104.2,75,100.9,112,0.6075,70,0,0,0,0,0,0
Washington 7,Washington,17,P10,23-10,Not Ranked,0,1,0.9277,117.2,9,93.9,47,71.6,16,-0.099,334,0.7014,41,105.6,45,98,39,0.5686,103,1,0,0,0,0,0
Georgia 10,Georgia,56,SEC,21-11,Not Ranked,0,0,0.8333,107.6,77,93.6,41,64.8,261,0.011,145,0.6744,60,105,60,98.6,55,0.5001,167,0,0,0,0,0,0
