Name+Seed,Pure Text,Rank,Conference,W-L,AP_Preseason_Rank,First_Four_Team,AQ/Conference_Winner,AdjEM,AdjO,R_AdjO,AdjD,R_AdjD,AdjT,R_AdjT,Luck,R_Luck,AdjEM1,R_AdjEM1,OppO,R_OppO,OppD,R_OppD,AdjEM2,R_AdjEM2,W_64,W_32,W_16,W_8,W_4,W_2
North Carolina 2,North Carolina,13,ACC,26-7,1,0,0,0.9397,111.8,39,88.1,6,71.3,22,0.069,28,0.7895,10,108.3,11,96.6,7,0.671,42,1,1,1,0,0,0
Long Island 15,Long Island,121,NEC,27-5,Not Ranked,0,1,0.6046,107.5,78,103.6,204,73.9,4,0.051,59,0.3064,316,97.5,316,104.7,301,0.3687,291,0,0,0,0,0,0
Duke 1,Duke,2,ACC,30-4,6,0,1,0.9756,119.9,5,87,3,69.6,46,0.007,162,0.7436,22,106.4,29,97,12,0.6054,71,1,1,0,0,0,0
Hampton 16,Hampton,211,MEAC,24-8,Not Ranked,0,1,0.3578,93.1,291,98,93,68,98,0.025,114,0.1937,342,94.7,340,107.2,341,0.358,301,0,0,0,0,0,0
Michigan 8,Michigan,39,B10,20-13,18,0,0,0.8703,110.9,50,94,48,62.8,323,0.007,159,0.7932,7,109.4,6,97.3,17,0.4802,188,1,0,0,0,0,0
Tennessee 9,Tennessee,54,SEC,19-14,Not Ranked,0,0,0.8358,108.3,71,94,49,67.2,145,-0.045,283,0.7597,15,107.6,18,97.4,18,0.6901,31,0,0,0,0,0,0
Arizona 5,Arizona,32,P10,27-7,16,0,0,0.8901,115.6,17,96.3,71,66.2,194,0.065,34,0.683,52,105.7,43,98.9,61,0.5095,161,1,1,1,0,0,0
Memphis 12,Memphis,89,CUSA,25-9,11,0,1,0.7044,103.1,136,95.6,64,68.6,71,0.135,3,0.5637,106,103.2,99,101,118,0.4116,248,0,0,0,0,0,0
Texas 4,Texas,4,B12,27-7,Not Ranked,0,0,0.9625,114.9,21,86.7,1,66.9,156,-0.052,298,0.7206,34,106,34,97.7,28,0.5753,93,1,0,0,0,0,0
Oakland 13,Oakland,66,Sum,25-9,Not Ranked,0,1,0.787,115.9,15,103.4,200,72.9,7,0.037,92,0.5317,131,104.1,76,103,208,0.8363,2,0,0,0,0,0,0
Cincinnati 6,Cincinnati,18,BE,26-8,21,0,0,0.9206,110.9,48,89.6,14,64,294,0.048,65,0.673,61,105.5,46,99.1,70,0.2986,325,1,0,0,0,0,0
Missouri 11,Missouri,41,B12,23-11,25,0,0,0.8699,112.7,32,95.6,63,71.9,14,-0.013,212,0.675,59,105.4,49,98.9,63,0.4034,258,0,0,0,0,0,0
Connecticut 3,Connecticut,14,BE,27-9,4,0,1,0.9383,116.3,12,91.8,27,66.1,208,0.029,105,0.7918,9,108.4,10,96.5,6,0.5194,153,1,1,1,1,1,1
Bucknell 14,Bucknell,103,Pat,25-9,Not Ranked,0,1,0.6619,102.6,146,96.8,75,66.1,206,0.067,30,0.4046,238,101.1,185,104.5,295,0.5768,92,0,0,0,0,0,0
Temple 7,Temple,36,A10,26-7,Not Ranked,0,0,0.8775,110.6,52,93.2,37,65.3,245,0.024,121,0.619,77,104,80,99.7,83,0.693,30,1,0,0,0,0,0
Penn St. 10,Penn St.,38,B10,19-15,Not Ranked,0,0,0.8708,112.8,31,95.6,62,60.4,342,0.037,91,0.8304,2,110.2,1,96,3,0.5592,115,0,0,0,0,0,0
San Diego St. 2,San Diego St.,6,MWC,33-2,Not Ranked,0,1,0.957,114.1,26,87.1,4,63.9,296,0.065,32,0.7016,40,106,35,98.4,51,0.6112,66,1,1,0,0,0,0
Northern Colorado 15,Northern Colorado,129,BSky,21-11,Not Ranked,0,1,0.5828,103.8,115,100.8,142,67.7,113,0.024,122,0.4231,216,100.5,213,103.2,225,0.6243,59,0,0,0,0,0,0
Kansas 1,Kansas,3,B12,32-2,13,0,1,0.9691,120.8,4,89.5,13,69.6,48,0.076,22,0.6986,44,106.4,30,98.9,60,0.4852,180,1,1,1,0,0,0
Boston University 16,Boston University,170,AE,21-13,Not Ranked,0,1,0.4687,101.4,170,102.6,184,64,293,0.043,77,0.3557,282,98.6,292,103.8,262,0.5429,126,0,0,0,0,0,0
Nevada Las Vegas 8,Nevada Las Vegas,24,MWC,24-8,Not Ranked,0,0,0.9094,109.9,57,89.9,17,68,104,0.009,155,0.6835,51,105.1,59,98.3,46,0.5856,87,0,0,0,0,0,0
Illinois 9,Illinois,21,B10,19-13,Not Ranked,0,0,0.9183,112.4,34,91.1,21,66.7,166,-0.081,325,0.8042,5,109.4,7,96.7,8,0.5885,84,1,0,0,0,0,0
Vanderbilt 5,Vanderbilt,34,SEC,23-11,7,0,0,0.886,116.7,11,97.6,90,67.2,140,-0.05,293,0.7077,38,105.4,48,97.6,27,0.5977,78,0,0,0,0,0,0
Richmond 12,Richmond,42,A10,28-7,Not Ranked,0,1,0.8673,111.5,44,94.7,52,63.3,313,0.047,67,0.5697,103,102.9,112,100.5,99,0.5471,123,1,1,0,0,0,0
Louisville 4,Louisville,12,BE,25-10,9,0,0,0.9412,111.3,45,87.4,5,67.8,111,-0.037,269,0.7399,24,107.3,22,98,38,0.3905,274,0,0,0,0,0,0
Morehead St. 13,Morehead St.,86,OVC,25-9,Not Ranked,0,1,0.7167,104.8,102,96.7,74,64.8,259,0.009,150,0.4358,205,100.8,199,103.1,215,0.6325,55,1,0,0,0,0,0
Georgetown 6,Georgetown,30,BE,21-10,Not Ranked,0,0,0.8913,113.2,28,94.3,50,64.9,256,0.045,72,0.8253,3,109.5,4,95.7,2,0.678,36,0,0,0,0,0,0
Virginia Commonwealth 11,Virginia Commonwealth,77,CAA,24-11,Not Ranked,1,0,0.7465,109.5,60,99.7,121,66.3,190,0.021,129,0.5775,98,103.3,98,100.5,101,0.6039,73,1,1,1,1,0,0
Purdue 3,Purdue,7,B10,25-7,Not Ranked,0,0,0.956,115.3,19,88.2,7,67.1,148,0.005,169,0.7781,13,108.1,14,97,11,0.5157,155,1,0,0,0,0,0
St. Peter's 14,St. Peter's,115,MAAC,20-13,Not Ranked,0,1,0.6199,94.8,275,90.9,19,65.8,221,0.072,26,0.5013,151,101,190,101,119,0.6089,68,0,0,0,0,0,0
Texas A&M; 7,Texas A&M;,47,B12,24-8,20,0,0,0.8575,109.1,64,93.3,38,62.5,325,0.063,37,0.6547,65,104.7,68,99.1,67,0.3189,318,0,0,0,0,0,0
Florida St. 10,Florida St.,40,ACC,21-10,Not Ranked,0,0,0.8702,102.4,154,86.8,2,69,61,-0.006,196,0.6881,49,105.3,51,98.3,48,0.4741,192,1,1,0,0,0,0
Notre Dame 2,Notre Dame,10,BE,26-6,Not Ranked,0,0,0.9496,123.1,3,95.4,60,64.5,274,0.078,21,0.7573,16,107.4,20,97.3,16,0.419,241,1,0,0,0,0,0
Akron 15,Akron,118,MAC,23-12,Not Ranked,0,1,0.6111,102.3,155,98.3,100,66.7,165,0.049,61,0.4257,213,100.3,219,102.9,207,0.4761,190,0,0,0,0,0,0
Pittsburgh 1,Pittsburgh,5,BE,28-5,10,0,0,0.9625,119.7,6,90.3,18,63.2,314,-0.006,195,0.7237,32,106.3,31,97.8,30,0.4238,234,1,0,0,0,0,0
NC Asheville 16,NC Asheville,151,BSth,20-14,Not Ranked,1,1,0.5276,99.1,210,98.1,95,68.8,64,-0.011,208,0.4093,231,100.1,229,103.3,229,0.7467,16,0,0,0,0,0,0
Butler 8,Butler,48,Horz,24-9,Not Ranked,0,1,0.8421,111.7,40,96.6,72,64.4,278,0.006,165,0.613,79,103.4,95,99.3,75,0.7139,22,1,1,1,1,1,0
Old Dominion 9,Old Dominion,49,CAA,27-7,Not Ranked,0,1,0.8404,108.5,69,93.9,46,61.4,332,0.059,45,0.5542,113,103.6,93,101.6,150,0.5991,76,0,0,0,0,0,0
Kansas St. 5,Kansas St.,28,B12,23-10,Not Ranked,0,0,0.894,110.7,51,92,28,68,100,0.023,125,0.7377,27,106.7,27,97.5,24,0.5686,104,1,0,0,0,0,0
Utah St. 12,Utah St.,20,WAC,30-4,Not Ranked,0,1,0.9189,110,55,89,10,63.7,306,0.034,95,0.5102,144,102.5,133,102.1,166,0.4943,172,0,0,0,0,0,0
Wisconsin 4,Wisconsin,8,B10,24-8,15,0,0,0.9553,124.1,2,95.1,57,57.6,345,0.001,180,0.7789,12,108.9,9,97.6,26,0.51,159,1,1,0,0,0,0
Belmont 13,Belmont,22,ASun,30-5,Not Ranked,0,1,0.9177,112.2,36,91,20,69.2,55,-0.006,194,0.3766,264,99,276,103.4,235,0.577,91,0,0,0,0,0,0
St. John's 6,St. John's,37,BE,21-12,Not Ranked,0,0,0.8758,110.9,49,93.6,42,67.2,143,0.047,66,0.7982,6,109.2,8,96.8,9,0.6089,69,0,0,0,0,0,0
Gonzaga 11,Gonzaga,25,WCC,25-9,23,0,1,0.9023,111.6,41,92,29,67.6,121,-0.012,210,0.5799,96,104.3,74,101.4,144,0.6323,56,1,0,0,0,0,0
Brigham Young 3,Brigham Young,15,MWC,31-4,Not Ranked,0,0,0.9376,117.3,8,92.7,34,71.3,21,0.07,27,0.68,54,104.8,64,98.2,43,0.5695,101,1,1,0,0,0,0
Wofford 14,Wofford,84,SC,21-13,Not Ranked,0,1,0.7222,111,47,102.2,176,64.7,265,-0.024,240,0.4795,169,102.3,138,103.1,213,0.7058,24,0,0,0,0,0,0
UCLA 7,UCLA,53,P10,23-10,17,0,0,0.8363,106.9,85,92.8,35,66.6,174,0.039,86,0.6917,46,106,38,98.8,56,0.5701,99,1,0,0,0,0,0
Michigan St. 10,Michigan St.,43,B10,19-15,Not Ranked,0,0,0.8666,109.2,63,92.8,36,66.2,193,0.009,151,0.8389,1,110.1,3,95.4,1,0.7041,25,0,0,0,0,0,0
Florida 2,Florida,16,SEC,27-7,8,0,0,0.9303,115.9,16,92.5,31,64.1,289,0.045,71,0.7116,36,105.5,47,97.5,23,0.5531,121,1,1,1,0,0,0
UC Santa Barbara 15,UC Santa Barbara,143,BW,18-14,Not Ranked,0,1,0.5506,101.6,166,99.8,123,65.5,236,0.002,175,0.518,139,102.6,126,101.9,159,0.7271,20,0,0,0,0,0,0
