Name+Seed,Pure Text,Rank,Conference,W-L,AP_Preseason_Rank,First_Four_Team,AQ/Conference_Winner,AdjEM,AdjO,R_AdjO,AdjD,R_AdjD,AdjT,R_AdjT,Luck,R_Luck,AdjEM1,R_AdjEM1,OppO,R_OppO,OppD,R_OppD,AdjEM2,R_AdjEM2,W_64,W_32,W_16,W_8,W_4,W_2
Villanova 1,Villanova,2,BE,31-3,4,0,1,30.78,122.7,2,92,12,63.8,323,0.026,114,9.98,27,110.1,27,100.1,32,4.24,52,1,0,0,0,0,0
Mount St. Mary's 16,Mount St. Mary's,213,NEC,19-15,Not Ranked,1,1,-4.23,98.9,271,103.2,143,66.6,234,0.06,42,-5.29,290,101.5,290,106.8,264,11.69,7,0,0,0,0,0,0
Wisconsin 8,Wisconsin,23,B10,25-9,9,0,0,22.29,113.6,40,91.3,8,63.1,333,0,185,9.09,39,109.9,34,100.8,49,-0.96,187,1,1,0,0,0,0
Virginia Tech 9,Virginia Tech,44,ACC,22-10,Not Ranked,0,0,14.94,117.4,21,102.5,125,68.1,157,0.061,40,8.78,44,110.2,26,101.4,64,-7.66,340,0,0,0,0,0,0
Virginia 5,Virginia,7,ACC,22-10,8,0,0,26.67,113.7,38,87,1,58.6,351,-0.051,298,12.15,9,111.4,8,99.2,14,2.75,77,1,0,0,0,0,0
UNC Wilmington 12,UNC Wilmington,60,CAA,29-5,Not Ranked,0,1,12.39,117.8,18,105.4,189,69.9,69,0.051,60,0.15,137,105,128,104.9,148,2.46,90,0,0,0,0,0,0
Florida 4,Florida,9,SEC,24-8,Not Ranked,0,0,26.39,115.9,31,89.5,4,68.6,119,-0.046,292,11.61,13,110.1,28,98.5,5,8.86,11,1,1,1,0,0,0
East Tennessee St. 13,East Tennessee St.,64,SC,27-7,Not Ranked,0,1,11.49,108,109,96.5,44,69.8,70,0.002,182,-1.39,174,105.3,109,106.7,260,0.54,147,0,0,0,0,0,0
SMU 6,SMU,11,Amer,30-4,Not Ranked,0,1,25.27,120.1,11,94.8,29,63.3,330,0.02,136,3.15,87,104.9,134,101.8,71,-1.15,200,0,0,0,0,0,0
USC 11,USC,61,P12,24-9,Not Ranked,1,0,12.34,112.5,46,100.2,86,68.6,117,0.078,20,4.18,77,108,62,103.8,117,-3.09,251,1,0,0,0,0,0
Baylor 3,Baylor,13,B12,25-7,Not Ranked,0,0,25.01,117.3,22,92.3,14,62.8,337,0.002,181,12.77,5,111.3,10,98.5,6,1.64,116,1,1,0,0,0,0
New Mexico St. 14,New Mexico St.,88,WAC,28-5,Not Ranked,0,1,7.32,110,71,102.7,134,67.3,205,0.057,48,-5.78,299,100.1,324,105.9,203,-4.5,294,0,0,0,0,0,0
South Carolina 7,South Carolina,31,SEC,22-10,Not Ranked,0,0,17.03,105.5,149,88.5,3,67.9,169,-0.004,194,8.49,47,108.7,52,100.2,35,2.4,92,1,1,1,1,0,0
Marquette 10,Marquette,28,BE,19-12,Not Ranked,0,0,17.57,121,7,103.4,154,69.7,77,-0.062,313,8.94,42,109.1,45,100.1,33,-1.84,214,0,0,0,0,0,0
Duke 2,Duke,12,ACC,27-8,1,0,1,25.09,121,6,95.9,39,67.7,183,0.027,109,12.39,6,111.5,7,99.1,13,0.06,159,1,0,0,0,0,0
