Name+Seed,Pure Text,Rank,Conference,W-L,AP_Preseason_Rank,First_Four_Team,AQ/Conference_Winner,AdjEM,AdjO,R_AdjO,AdjD,R_AdjD,AdjT,R_AdjT,Luck,R_Luck,AdjEM1,R_AdjEM1,OppO,R_OppO,OppD,R_OppD,AdjEM2,R_AdjEM2,W_64,W_32,W_16,W_8,W_4,W_2
Troy 15,Troy,130,SB,22-14,Not Ranked,0,1,2.67,109.9,74,107.3,225,67.8,178,-0.037,277,-2.86,214,102.2,264,105.1,157,-6.67,335,0,0,0,0,0,0
Gonzaga 1,Gonzaga,1,WCC,32-1,14,0,1,33.05,120.7,10,87.6,2,69.8,71,0.016,151,0.61,128,104.9,138,104.2,129,0.72,138,1,1,1,1,1,0
South Dakota St. 16,South Dakota St.,187,Sum,18-16,Not Ranked,0,1,-1.33,110.8,62,112.1,307,66.8,221,0.029,103,-1.09,168,104.6,153,105.6,188,1.6,117,0,0,0,0,0,0
Northwestern 8,Northwestern,39,B10,23-11,Not Ranked,0,0,15.51,111.2,58,95.7,35,64.9,300,0.021,134,7.76,53,108.6,55,100.8,50,-2.83,241,1,0,0,0,0,0
Vanderbilt 9,Vanderbilt,34,SEC,19-15,Not Ranked,0,0,16.24,112.3,48,96.1,41,65.3,284,-0.035,268,11.16,17,109.9,33,98.7,9,6.58,33,0,0,0,0,0,0
Notre Dame 5,Notre Dame,25,ACC,25-9,Not Ranked,0,0,21.09,118.9,16,97.8,58,66.9,220,0.021,133,10.64,24,110.2,23,99.6,21,-3.97,277,1,0,0,0,0,0
Princeton 12,Princeton,59,Ivy,23-6,Not Ranked,0,1,12.5,109.4,83,96.9,46,62.9,336,0.025,117,-1.46,175,103.4,214,104.8,145,2.5,87,0,0,0,0,0,0
West Virginia 4,West Virginia,5,B12,26-8,20,0,0,26.8,116.5,28,89.7,5,69.6,79,-0.043,290,9.77,29,109.3,39,99.5,18,-7.91,342,1,1,0,0,0,0
Bucknell 13,Bucknell,80,Pat,26-8,Not Ranked,0,1,8.72,109.1,87,100.3,88,69.4,86,0.018,143,-4.37,264,100.9,311,105.2,163,1.09,130,0,0,0,0,0,0
Maryland 6,Maryland,45,B10,24-8,25,0,0,14.83,113.6,39,98.8,64,66.8,222,0.064,36,7.66,54,107.9,63,100.3,37,-0.94,186,0,0,0,0,0,0
Xavier 11,Xavier,40,BE,21-13,7,0,0,15.32,114.8,33,99.5,74,66.9,219,0.03,98,11.06,19,110.8,19,99.7,24,5.78,38,1,1,1,0,0,0
Florida St. 3,Florida St.,19,ACC,25-8,Not Ranked,0,0,22.74,116.7,25,94,24,70.5,52,0.023,126,9.69,31,110.9,18,101.2,56,-3.61,268,1,0,0,0,0,0
Florida Gulf Coast 14,Florida Gulf Coast,108,ASun,26-7,Not Ranked,0,1,5.01,109.5,82,104.5,172,64.9,299,0.051,63,-4.99,277,103.6,202,108.6,330,2.69,81,0,0,0,0,0,0
Saint Mary's 7,Saint Mary's,14,WCC,28-4,17,0,0,24.64,119,15,94.3,26,59.1,350,0.034,87,-0.28,147,104,178,104.3,130,-4.27,287,1,0,0,0,0,0
VCU 10,VCU,52,A10,26-8,Not Ranked,0,0,14.31,110,72,95.7,36,67.9,167,0.036,82,3.6,83,105.5,101,101.9,73,1.12,129,0,0,0,0,0,0
Arizona 2,Arizona,20,P12,30-4,10,0,1,22.74,117.6,20,94.8,28,65.5,277,0.064,37,6.6,65,108.1,59,101.5,69,1.53,119,1,1,0,0,0,0
North Dakota 15,North Dakota,173,BSky,22-9,Not Ranked,0,1,-0.32,102.9,200,103.2,149,71,34,0.047,69,-6.52,314,102.3,261,108.9,338,3.07,70,0,0,0,0,0,0
Kansas 1,Kansas,10,B12,28-4,3,0,0,25.98,120.8,9,94.9,30,70,67,0.074,25,12.26,7,111.1,15,98.8,10,2.75,76,1,1,1,0,0,0
UC Davis 16,UC Davis,218,BW,22-12,Not Ranked,1,1,-4.76,97.9,292,102.6,128,68.3,141,0.109,4,-6.2,308,100.1,325,106.3,237,-1.19,202,0,0,0,0,0,0
Miami FL 8,Miami FL,32,ACC,21-11,Not Ranked,0,0,16.96,110.4,68,93.4,20,62.8,338,0.03,97,10.12,26,111,16,100.9,54,-4.07,282,0,0,0,0,0,0
Michigan St. 9,Michigan St.,43,B10,19-14,12,0,0,14.98,110.6,66,95.6,34,66.5,242,-0.012,219,10.67,23,110.2,24,99.5,20,4.19,54,1,0,0,0,0,0
Iowa St. 5,Iowa St.,17,B12,23-10,24,0,1,23.11,119.6,13,96.4,43,67.9,170,-0.01,213,13.66,4,112.1,3,98.4,4,-0.28,169,1,0,0,0,0,0
Nevada 12,Nevada,55,MWC,28-6,Not Ranked,0,1,13.34,114.5,34,101.2,101,69.4,87,0.059,44,0.82,125,104,176,103.2,104,-0.96,188,0,0,0,0,0,0
Purdue 4,Purdue,15,B10,25-7,15,0,0,24.22,116.9,24,92.7,16,68.7,116,-0.023,244,8.06,50,108.8,50,100.7,46,-1.94,217,1,1,0,0,0,0
Vermont 13,Vermont,63,AE,29-5,Not Ranked,0,1,11.88,110.8,61,98.9,66,64.1,313,0.06,41,-4.74,270,102.7,251,107.4,292,1.85,111,0,0,0,0,0,0
Creighton 6,Creighton,27,BE,25-9,22,0,0,19.59,115.6,32,96,40,70.6,49,0.009,170,8.98,40,110.2,25,101.2,57,-1.3,205,0,0,0,0,0,0
Rhode Island 11,Rhode Island,37,A10,24-9,23,0,1,15.62,110.7,64,95,32,65.9,266,-0.024,248,3.67,82,106.3,82,102.6,90,1.99,105,1,0,0,0,0,0
Oregon 3,Oregon,16,P12,29-5,5,0,0,23.83,117.7,19,93.9,22,66.5,238,0.036,84,6.41,67,107.8,66,101.4,66,0.69,140,1,1,1,1,0,0
Iona 14,Iona,118,MAAC,22-12,Not Ranked,0,1,4,110.2,69,106.2,202,70.3,57,0.011,164,-2.57,207,103.3,216,105.9,206,0.26,157,0,0,0,0,0,0
Michigan 7,Michigan,21,B10,24-11,Not Ranked,0,1,22.62,121.6,5,99,69,62.6,339,-0.031,255,9.68,32,109.2,41,99.5,19,-0.27,168,1,1,0,0,0,0
Oklahoma St. 10,Oklahoma St.,24,B12,20-12,Not Ranked,0,0,22.1,124.8,1,102.7,133,70,64,-0.056,309,13.97,1,111.6,6,97.6,1,2.99,72,0,0,0,0,0,0
Louisville 2,Louisville,6,ACC,24-8,13,0,0,26.72,117.1,23,90.4,6,67.7,180,-0.011,216,12.2,8,111.9,4,99.7,26,4.62,49,1,0,0,0,0,0
Jacksonville St. 15,Jacksonville St.,158,OVC,20-14,Not Ranked,0,1,0.58,105.4,153,104.8,177,63.3,329,0.029,104,-2.1,193,104,179,106.1,222,1.06,131,0,0,0,0,0,0
North Carolina 1,North Carolina,3,ACC,27-7,6,0,0,28.01,122.1,4,94.1,25,70.4,53,0.006,176,12.14,10,111.6,5,99.5,17,4.11,57,1,1,1,1,1,1
Texas Southern 16,Texas Southern,207,SWAC,23-11,Not Ranked,0,1,-3.66,103.6,187,107.3,227,68.2,146,0.12,2,-9.01,337,99.7,331,108.7,333,12.91,3,0,0,0,0,0,0
Arkansas 8,Arkansas,38,SEC,25-9,Not Ranked,0,0,15.6,116.6,26,101,96,69.1,95,0.093,7,7.54,56,107.9,64,100.4,39,-1.19,203,1,0,0,0,0,0
Seton Hall 9,Seton Hall,53,BE,21-11,Not Ranked,0,0,13.95,109.8,76,95.9,38,67,214,0.071,28,9.7,30,109.9,32,100.2,36,-2.12,220,0,0,0,0,0,0
Minnesota 5,Minnesota,33,B10,24-9,Not Ranked,0,0,16.59,109.5,81,93,18,69.1,97,0.028,107,8.15,49,108.8,51,100.6,43,-1.38,208,0,0,0,0,0,0
Middle Tennessee 12,Middle Tennessee,48,CUSA,30-4,Not Ranked,0,1,14.65,111.6,55,97,47,64,314,0.012,161,-1.72,183,103.9,184,105.6,187,4.12,56,1,0,0,0,0,0
Butler 4,Butler,26,BE,23-8,Not Ranked,0,0,20.91,118,17,97.1,49,65.1,295,-0.001,186,10.72,22,110.6,22,99.8,28,5.3,41,1,1,0,0,0,0
Winthrop 13,Winthrop,112,BSth,26-6,Not Ranked,0,1,4.63,106.5,137,101.8,110,70.7,45,0.029,100,-7.6,326,100.3,323,107.9,312,2.58,84,0,0,0,0,0,0
Cincinnati 6,Cincinnati,22,Amer,29-5,Not Ranked,0,0,22.32,114.2,35,91.9,11,63.5,327,0.029,102,3.56,84,106.5,80,103,99,-0.22,167,1,0,0,0,0,0
Kansas St. 11,Kansas St.,29,B12,20-13,Not Ranked,1,0,17.55,112,50,94.5,27,65.9,269,-0.04,282,10.97,20,109.9,31,99,11,-4.88,300,0,0,0,0,0,0
UCLA 3,UCLA,18,P12,29-4,16,0,0,22.95,122.7,3,99.8,78,72.9,13,0.024,121,4.05,78,107.3,74,103.2,105,-4.4,290,1,1,0,0,0,0
Kent St. 14,Kent St.,141,MAC,22-13,Not Ranked,0,1,1.73,104.4,169,102.7,131,68,160,0.022,129,-2.28,200,103.9,183,106.2,230,-5.54,316,0,0,0,0,0,0
Dayton 7,Dayton,36,A10,24-7,Not Ranked,0,0,15.67,112.3,49,96.6,45,68.3,137,-0.011,217,3.38,86,105.6,100,102.2,77,2.9,73,0,0,0,0,0,0
Wichita St. 10,Wichita St.,8,MVC,30-4,Not Ranked,0,1,26.41,119.6,12,93.2,19,68.4,133,-0.014,227,0.65,127,104.3,162,103.6,113,-0.03,162,1,0,0,0,0,0
Kentucky 2,Kentucky,4,SEC,29-5,2,0,1,27.27,119.2,14,91.9,9,72.5,16,0.008,171,9.79,28,109.4,38,99.6,23,3.93,58,1,1,1,0,0,0
Northern Kentucky 15,Northern Kentucky,147,Horz,24-10,Not Ranked,0,1,1.34,106.6,133,105.3,187,67.6,191,0.082,13,-3.89,248,102.5,258,106.4,245,-2.27,227,0,0,0,0,0,0
