Name+Seed,Pure Text,Rank,Conference,W-L,AP_Preseason_Rank,First_Four_Team,AQ/Conference_Winner,AdjEM,AdjO,R_AdjO,AdjD,R_AdjD,AdjT,R_AdjT,Luck,R_Luck,AdjEM1,R_AdjEM1,OppO,R_OppO,OppD,R_OppD,AdjEM2,R_AdjEM2,W_64,W_32,W_16,W_8,W_4,W_2
Duke 1,Duke,3,ACC,29-5,4,0,1,31.99,120.1,6,88.1,6,72.2,18,0.018,137,13.25,7,110.4,4,97.2,11,5.48,38,1,1,1,0,0,0
North Dakota St. 16,North Dakota St.,199,Sum,18-15,Not Ranked,1,1,-3.2,106.6,127,109.8,278,64.8,312,0.052,63,-3.07,225,104.5,135,107.6,312,3.73,77,0,0,0,0,0,0
VCU 8,VCU,37,A10,25-7,Not Ranked,0,0,15.69,104.3,172,88.6,7,68.2,136,0.004,174,1.15,117,105,115,103.8,142,3.5,85,0,0,0,0,0,0
UCF 9,UCF,46,Amer,23-8,Not Ranked,0,0,14.58,110.3,58,95.7,36,64.8,313,0.029,104,3.61,78,105.2,109,101.6,65,-3.42,267,1,0,0,0,0,0
Mississippi St. 5,Mississippi St.,21,SEC,23-10,18,0,0,20.68,117.4,14,96.7,51,67.4,178,-0.027,248,10.46,30,110,12,99.6,46,2.49,99,0,0,0,0,0,0
Liberty 12,Liberty,63,ASun,28-6,Not Ranked,0,1,10.82,110.6,56,99.7,96,61.8,349,0.006,167,-4.61,268,101.3,283,105.9,223,-2.83,249,1,0,0,0,0,0
Virginia Tech 4,Virginia Tech,11,ACC,24-8,15,0,0,24.47,118.4,11,94,25,63.3,337,0.002,181,8.61,50,108.1,51,99.5,44,-6.04,326,1,1,0,0,0,0
Saint Louis 13,Saint Louis,104,A10,23-12,Not Ranked,0,1,6.27,102.6,205,96.3,46,66.1,250,0.045,74,0.36,133,103.9,166,103.6,127,-1.05,199,0,0,0,0,0,0
Maryland 6,Maryland,24,B10,22-10,Not Ranked,0,0,19.98,113.8,27,93.8,22,65.6,274,0.001,182,11.08,21,109.5,24,98.4,21,-4.62,298,1,0,0,0,0,0
Belmont 11,Belmont,54,OVC,26-5,Not Ranked,1,0,13.07,114.8,20,101.8,127,71.1,31,0.041,78,-3.23,230,102.7,227,105.9,221,3.44,87,0,0,0,0,0,0
LSU 3,LSU,18,SEC,26-6,23,0,0,20.97,118.5,10,97.5,62,69.9,66,0.035,93,9.49,40,108.6,41,99.1,38,3.09,93,1,1,0,0,0,0
Yale 14,Yale,82,Ivy,22-7,Not Ranked,0,1,8.59,111.7,44,103.1,149,70.7,44,0.057,48,-1.52,186,102.3,243,103.8,140,-1.89,226,0,0,0,0,0,0
Louisville 7,Louisville,17,ACC,20-13,Not Ranked,0,0,20.97,113.4,29,92.4,17,67.1,194,-0.054,301,13,10,110.6,3,97.6,15,6.05,28,0,0,0,0,0,0
Minnesota 10,Minnesota,47,B10,21-13,Not Ranked,0,0,14.46,110.7,54,96.2,44,67.5,176,0.082,24,12.07,16,109.8,17,97.7,17,-2.79,247,1,0,0,0,0,0
Michigan St. 2,Michigan St.,4,B10,28-6,10,0,1,31.36,121.7,4,90.4,8,67.4,182,-0.007,198,13.57,3,110.2,7,96.7,2,3.15,90,1,1,1,1,0,0
Bradley 15,Bradley,165,MVC,20-14,Not Ranked,0,1,-0.36,100.9,246,101.2,117,65.1,299,0.04,80,-2.12,205,102.1,259,104.2,164,-3.81,275,0,0,0,0,0,0
Gonzaga 1,Gonzaga,2,WCC,30-3,3,0,0,32.79,125.1,1,92.3,16,69.8,70,0.008,160,3.38,83,106.2,76,102.8,102,1.98,109,1,1,1,0,0,0
Fairleigh Dickinson 16,Fairleigh Dickinson,208,NEC,20-13,Not Ranked,1,1,-4.25,106.2,137,110.4,295,66.8,214,0.01,153,-8.75,340,98.7,340,107.4,299,-1.51,212,0,0,0,0,0,0
Syracuse 8,Syracuse,35,ACC,20-13,16,0,0,16.3,110.2,61,93.9,24,66.1,251,0.005,169,10.06,32,108.5,44,98.5,24,0.49,153,0,0,0,0,0,0
Baylor 9,Baylor,41,B12,19-13,Not Ranked,0,0,15.29,113.5,28,98.2,75,65.3,291,-0.032,260,9.18,43,107.9,57,98.7,28,-4.2,289,1,0,0,0,0,0
Marquette 5,Marquette,27,BE,24-9,Not Ranked,0,0,18.42,114.2,23,95.7,35,68.6,116,0.007,164,7.65,58,107.5,59,99.9,52,0.79,145,0,0,0,0,0,0
Murray St. 12,Murray St.,52,OVC,27-4,Not Ranked,0,1,13.33,112,41,98.7,81,69,98,0.033,97,-4.77,273,102.1,256,106.9,269,-1.01,197,1,0,0,0,0,0
Florida St. 4,Florida St.,14,ACC,27-7,17,0,0,22.56,113,31,90.4,9,68.3,135,0.045,75,10.71,26,109.5,23,98.8,32,1.1,133,1,1,0,0,0,0
Vermont 13,Vermont,80,AE,27-6,Not Ranked,0,1,8.72,107.9,103,99.2,84,65.3,285,0.056,54,-6.01,289,100.2,317,106.2,234,3.52,84,0,0,0,0,0,0
Buffalo 6,Buffalo,22,MAC,31-3,Not Ranked,0,1,20.34,114.9,19,94.6,29,73.8,9,0.041,77,2.8,93,105.2,112,102.4,91,1.58,117,1,0,0,0,0,0
Arizona St. 11,Arizona St.,61,P12,22-10,Not Ranked,1,0,11.21,109.8,68,98.6,79,70.5,46,0.046,72,4.81,68,106.6,71,101.8,70,1.8,113,0,0,0,0,0,0
Texas Tech 3,Texas Tech,9,B12,26-6,Not Ranked,0,0,26.75,112.7,36,85.9,1,66.5,226,0.004,175,8.31,53,107.8,58,99.5,45,-5.02,307,1,1,1,1,1,0
Northern Kentucky 14,Northern Kentucky,100,Horz,26-8,Not Ranked,0,1,6.56,109.2,77,102.7,144,67.9,145,-0.008,203,-4.29,255,103,214,107.2,291,-2.61,242,0,0,0,0,0,0
