Name+Seed,Pure Text,Rank,Conference,W-L,AP_Preseason_Rank,First_Four_Team,AQ/Conference_Winner,AdjEM,AdjO,R_AdjO,AdjD,R_AdjD,AdjT,R_AdjT,Luck,R_Luck,AdjEM1,R_AdjEM1,OppO,R_OppO,OppD,R_OppD,AdjEM2,R_AdjEM2,W_64,W_32,W_16,W_8,W_4,W_2
Nevada 7,Nevada,25,MWC,29-4,7,0,0,18.92,114,26,95.1,33,69.2,88,0.039,85,1.38,111,105.2,108,103.8,139,1.99,108,0,0,0,0,0,0
Florida 10,Florida,28,SEC,19-15,Not Ranked,0,0,18.32,110.2,60,91.9,14,62.7,346,-0.072,326,11.64,18,110.4,5,98.7,31,5.39,40,1,0,0,0,0,0
Michigan 2,Michigan,5,B10,28-6,19,0,0,29.44,115.5,18,86.1,2,64.4,320,-0.014,227,11.65,17,109.3,29,97.6,16,-4.94,305,1,1,0,0,0,0
Montana 15,Montana,137,BSky,26-8,Not Ranked,0,1,3.55,107.4,115,103.8,161,66.5,225,0.057,49,-6.59,299,102,265,108.6,342,4.46,56,0,0,0,0,0,0
Virginia 1,Virginia,1,ACC,29-3,5,0,0,35.66,123.6,2,87.9,5,59.3,353,0.024,119,10.51,29,108.4,48,97.9,19,-2.82,248,1,1,1,1,1,1
Gardner Webb 16,Gardner Webb,167,BSth,23-11,Not Ranked,0,1,-0.74,107.5,111,108.2,253,67.1,196,0.07,31,-4.53,265,102.3,242,106.9,268,-3.63,272,0,0,0,0,0,0
Mississippi 8,Mississippi,44,SEC,20-12,Not Ranked,0,0,15.08,112.8,33,97.7,65,68.3,129,-0.018,232,8.69,48,108.8,37,100.1,57,-0.78,187,0,0,0,0,0,0
Oklahoma 9,Oklahoma,38,B12,19-13,Not Ranked,0,0,15.53,109.4,73,93.9,23,68.7,112,0.031,101,12.63,12,109.7,20,97,7,7.84,11,1,0,0,0,0,0
Wisconsin 5,Wisconsin,12,B10,23-10,Not Ranked,0,0,23.68,110.8,52,87.1,3,63.6,332,-0.026,247,13.57,4,110.3,6,96.8,5,3.56,82,0,0,0,0,0,0
Oregon 12,Oregon,43,P12,23-12,14,0,1,15.15,107.7,108,92.5,18,64.1,328,-0.039,272,4.1,74,106.9,65,102.8,101,0.26,160,1,1,0,0,0,0
Kansas St. 4,Kansas St.,23,B12,25-8,12,0,0,20.22,108,102,87.7,4,63,342,0.061,42,10.05,33,109,33,99,35,-0.5,183,0,0,0,0,0,0
UC Irvine 13,UC Irvine,75,BW,30-5,Not Ranked,0,1,9.46,106.6,125,97.1,58,65.1,296,0.097,10,-3.94,250,102.2,245,106.2,232,1.82,112,1,0,0,0,0,0
Villanova 6,Villanova,26,BE,25-9,9,0,1,18.77,117,16,98.2,73,63.6,333,0.017,139,8.22,54,108.4,49,100.2,58,3.63,79,1,0,0,0,0,0
Saint Mary's 11,Saint Mary's,31,WCC,22-11,Not Ranked,0,1,17.71,114.6,21,96.9,55,62.6,347,-0.033,262,3.63,77,106.4,74,102.7,98,-0.39,180,0,0,0,0,0,0
Purdue 3,Purdue,10,B10,23-9,24,0,0,26.05,121.1,5,95,32,65.6,276,-0.012,220,13.04,8,109.7,19,96.7,3,4.33,58,1,1,1,0,0,0
Old Dominion 14,Old Dominion,112,CUSA,26-8,Not Ranked,0,1,5.58,101.9,216,96.4,48,64.3,325,0.055,59,-2.37,210,101.9,270,104.2,169,-5.71,323,0,0,0,0,0,0
Cincinnati 7,Cincinnati,32,Amer,28-6,Not Ranked,0,1,17.05,111.6,46,94.5,28,63.2,338,0.06,44,4.2,73,106.3,75,102.1,85,-2.63,243,0,0,0,0,0,0
Iowa 10,Iowa,36,B10,22-11,Not Ranked,0,0,15.96,117.2,15,101.2,115,69.4,82,0.057,51,10.57,28,108.4,46,97.8,18,-6.6,332,1,0,0,0,0,0
Tennessee 2,Tennessee,8,SEC,29-5,6,0,0,26.98,122.5,3,95.5,34,67.7,155,0.038,87,10.58,27,109,32,98.5,23,1.36,124,1,1,0,0,0,0
Colgate 15,Colgate,129,Pat,24-10,Not Ranked,0,1,4.29,110,63,105.8,202,66.3,236,0.021,129,-4.21,254,101.8,273,106,224,1.2,130,0,0,0,0,0,0
North Carolina 1,North Carolina,6,ACC,27-6,8,0,0,29.17,119.9,7,90.7,10,74.3,5,0.024,117,13.68,2,110.8,2,97.1,8,5.77,33,1,1,0,0,0,0
Iona 16,Iona,197,MAAC,17-15,Not Ranked,0,1,-3.08,106.5,132,109.6,275,70.5,45,-0.025,245,-6.63,300,100,322,106.6,251,0.92,137,0,0,0,0,0,0
Utah St. 8,Utah St.,34,MWC,28-6,Not Ranked,0,1,16.62,113,32,96.3,47,67.8,151,0.007,162,0.01,145,104.3,146,104.3,170,1.14,132,0,0,0,0,0,0
Washington 9,Washington,51,P12,26-8,25,0,0,13.37,107,119,93.6,20,65.9,263,0.078,27,4.94,67,106.7,69,101.8,72,3.11,91,1,0,0,0,0,0
Auburn 5,Auburn,13,SEC,26-9,11,0,1,23.33,119.6,8,96.2,45,67.5,166,0.003,180,10.89,25,109.6,21,98.7,30,2.81,96,1,1,1,1,0,0
New Mexico St. 12,New Mexico St.,49,WAC,30-4,Not Ranked,0,1,13.59,112.6,37,99,83,65.6,278,0.061,40,-3.52,239,102.4,238,105.9,222,-2.94,254,0,0,0,0,0,0
Kansas 4,Kansas,20,B12,25-9,1,0,0,20.71,112.7,34,92,15,69.9,64,0.088,15,13.89,1,111.4,1,97.5,13,10.99,3,1,0,0,0,0,0
Northeastern 13,Northeastern,79,CAA,23-10,Not Ranked,0,1,8.75,111.5,48,102.7,145,66,252,0.023,121,-0.8,163,106,80,106.8,263,6.95,21,0,0,0,0,0,0
Iowa St. 6,Iowa St.,16,B12,23-11,Not Ranked,0,1,21.85,119,9,97.1,59,67.6,161,-0.051,295,10.36,31,108.8,38,98.5,22,-1.45,210,0,0,0,0,0,0
Ohio St. 11,Ohio St.,45,B10,19-14,Not Ranked,0,0,15.08,109.3,75,94.2,27,65.7,272,0.005,168,11.63,19,110.1,9,98.5,26,-2.69,245,1,0,0,0,0,0
Houston 3,Houston,15,Amer,31-3,Not Ranked,0,0,22.42,114.1,24,91.7,13,66.1,247,0.057,50,3.15,88,104.8,124,101.6,66,-3.81,276,1,1,0,0,0,0
Georgia St. 14,Georgia St.,111,SB,24-9,Not Ranked,0,1,5.6,107.9,107,102.3,137,69.9,67,0.126,3,0.94,122,104.8,122,103.9,146,4.05,64,0,0,0,0,0,0
Wofford 7,Wofford,19,SC,29-4,Not Ranked,0,1,20.71,118.4,12,97.6,63,65.6,275,0.06,43,1.36,112,105.4,96,104,155,8.4,7,1,0,0,0,0,0
Seton Hall 10,Seton Hall,55,BE,20-13,Not Ranked,0,0,12.91,109.3,74,96.4,49,68.9,102,0.022,126,9.42,41,109.3,28,99.9,53,4.43,57,0,0,0,0,0,0
Kentucky 2,Kentucky,7,SEC,27-6,2,0,0,27.41,118.2,13,90.8,12,65.8,265,0.037,89,11.02,22,110,11,99,37,2.26,102,1,1,1,0,0,0
Abilene Christian 15,Abilene Christian,145,Slnd,27-6,Not Ranked,0,1,2.09,103.6,186,101.5,119,66,254,0.087,17,-9.04,343,99.6,327,108.6,343,-4.51,295,0,0,0,0,0,0
