Name+Seed,Pure Text,Rank,Conference,W-L,AP_Preseason_Rank,First_Four_Team,AQ/Conference_Winner,AdjEM,AdjO,R_AdjO,AdjD,R_AdjD,AdjT,R_AdjT,Luck,R_Luck,AdjEM1,R_AdjEM1,OppO,R_OppO,OppD,R_OppD,AdjEM2,R_AdjEM2,W_64,W_32,W_16,W_8,W_4,W_2
Creighton 8,Creighton,36,MVC,28-5,Not Ranked,0,1,0.8336,119,5,101.7,180,67,122,0.074,21,0.5718,105,102.5,106,99.7,106,0.4806,194,1,0,0,0,0,0
Alabama 9,Alabama,29,SEC,21-11,19,0,0,0.8533,104.4,112,87.9,9,63.4,288,-0.051,288,0.6796,31,105.8,23,98.3,54,0.6167,50,0,0,0,0,0,0
Temple 5,Temple,38,A10,24-7,Not Ranked,0,0,0.8294,113.4,21,97.2,92,66.9,126,0.045,70,0.6665,42,105.4,32,98.6,60,0.682,19,0,0,0,0,0,0
South Florida 12,South Florida,53,BE,21-13,Not Ranked,1,0,0.7889,101.2,165,89,16,59.8,342,0.051,56,0.7114,16,105.9,18,97,13,0.5907,74,1,0,0,0,0,0
Michigan 4,Michigan,25,B10,24-9,18,0,0,0.8728,113.4,20,94,48,61.4,326,0.07,27,0.7618,1,107.8,2,96.3,4,0.4897,187,0,0,0,0,0,0
Ohio 13,Ohio,71,MAC,27-7,Not Ranked,0,1,0.7464,104.2,117,93.8,45,67.2,116,0.021,117,0.4638,191,101,174,102.4,204,0.4088,275,1,1,0,0,0,0
San Diego St. 6,San Diego St.,55,MWC,26-7,Not Ranked,0,0,0.7848,106.1,89,93.5,42,66.7,138,0.057,45,0.5822,95,103,89,99.7,109,0.4086,276,0,0,0,0,0,0
North Carolina St. 11,North Carolina St.,43,ACC,22-12,Not Ranked,0,0,0.814,111,34,96.1,73,68.1,81,-0.002,180,0.6554,47,104.3,52,97.9,40,0.5614,100,1,1,0,0,0,0
Georgetown 3,Georgetown,12,BE,23-8,Not Ranked,0,0,0.9126,109.7,47,87.3,7,63.3,294,0.001,172,0.7022,23,105.6,28,97.1,16,0.5267,133,1,0,0,0,0,0
Belmont 14,Belmont,23,ASun,27-7,Not Ranked,0,1,0.8748,116.3,13,96.2,79,68.4,67,-0.018,215,0.4821,167,101.4,151,102.1,193,0.6114,57,0,0,0,0,0,0
St. Mary's 7,St. Mary's,44,WCC,27-5,Not Ranked,0,1,0.8121,112.5,24,97.5,102,64,272,0.054,49,0.4739,179,101.7,140,102.7,229,0.4265,248,0,0,0,0,0,0
Purdue 10,Purdue,24,B10,21-12,Not Ranked,0,0,0.8739,117.4,6,97.2,93,65.5,203,0,174,0.7169,14,107,7,97.7,31,0.4392,234,1,0,0,0,0,0
Kansas 2,Kansas,4,B12,27-6,13,0,0,0.9506,117,9,87.7,8,67.7,95,0.01,150,0.7337,6,105.8,22,95.8,1,0.622,47,1,1,1,1,1,0
Detroit 15,Detroit,118,Horz,22-13,Not Ranked,0,1,0.6306,107.1,74,101.7,179,68.2,75,-0.01,195,0.4816,168,100,220,100.7,144,0.5248,137,0,0,0,0,0,0
