Name+Seed,Pure Text,Rank,Conference,W-L,AP_Preseason_Rank,First_Four_Team,AQ/Conference_Winner,AdjEM,AdjO,R_AdjO,AdjD,R_AdjD,AdjT,R_AdjT,Luck,R_Luck,AdjEM1,R_AdjEM1,OppO,R_OppO,OppD,R_OppD,AdjEM2,R_AdjEM2,W_64,W_32,W_16,W_8,W_4,W_2
Kentucky 1,Kentucky,2,SEC,32-2,2,0,0,0.9659,120.8,3,87.2,6,65.7,191,0.025,108,0.6644,44,104.7,40,97.9,41,0.5179,149,1,1,1,1,1,1
Western Kentucky 16,Western Kentucky,193,SB,16-18,Not Ranked,1,1,0.4162,95.9,253,99.2,132,69,48,0.084,18,0.4791,170,100,223,100.8,148,0.5421,117,0,0,0,0,0,0
Iowa St. 8,Iowa St.,28,B12,22-10,Not Ranked,0,0,0.8563,111.8,30,94,47,67.3,112,-0.01,198,0.6786,32,105.4,33,98,43,0.41,273,1,0,0,0,0,0
Connecticut 9,Connecticut,37,BE,20-13,4,0,0,0.8333,110.2,41,94.2,51,63.9,276,-0.033,250,0.7124,15,105.9,19,96.9,10,0.5061,169,0,0,0,0,0,0
Wichita St. 5,Wichita St.,10,MVC,27-5,Not Ranked,0,0,0.9307,116.5,11,90.4,19,67,125,-0.001,178,0.5934,85,103.2,78,99.4,99,0.581,82,0,0,0,0,0,0
Virginia Commonwealth 12,Virginia Commonwealth,45,CAA,28-6,Not Ranked,0,1,0.808,106.1,90,92.2,26,66.3,150,0.034,87,0.4994,151,99.4,257,99.4,98,0.5577,103,1,0,0,0,0,0
Indiana 4,Indiana,11,B10,25-8,Not Ranked,0,0,0.9233,120.3,4,94.4,55,67.5,106,0.001,171,0.7108,17,105.8,21,97,12,0.4101,271,1,1,0,0,0,0
New Mexico St. 13,New Mexico St.,63,WAC,26-9,Not Ranked,0,1,0.7725,107.6,68,95.5,69,70.8,19,-0.045,270,0.4686,185,101.4,152,102.6,218,0.4757,197,0,0,0,0,0,0
Nevada Las Vegas 6,Nevada Las Vegas,33,MWC,26-8,Not Ranked,0,0,0.8412,108.7,59,92.4,29,69.6,30,0.02,121,0.6089,75,103.3,74,98.9,77,0.5126,155,0,0,0,0,0,0
Colorado 11,Colorado,75,P12,23-11,Not Ranked,0,1,0.7304,103.1,134,93.5,43,65.5,202,0.075,20,0.6102,74,103.3,73,98.9,76,0.5284,131,1,0,0,0,0,0
Baylor 3,Baylor,14,B12,27-7,12,0,0,0.9073,116,15,92.8,32,66.5,145,0.057,44,0.7088,19,106.2,14,97.4,23,0.4073,279,1,1,1,0,0,0
South Dakota St. 14,South Dakota St.,57,Sum,27-7,Not Ranked,0,1,0.7822,112,28,98.9,126,65.6,194,0.041,77,0.4325,216,100.9,176,103.6,278,0.5465,114,0,0,0,0,0,0
Notre Dame 7,Notre Dame,41,BE,22-11,Not Ranked,0,0,0.82,109.5,50,94.4,58,61.3,327,0.046,67,0.6684,40,104.6,44,97.7,29,0.4345,240,0,0,0,0,0,0
Xavier 10,Xavier,60,A10,21-12,14,0,0,0.7763,107.2,73,94.9,64,67.6,101,0.032,93,0.6782,34,105.6,27,98.2,51,0.6299,44,1,1,0,0,0,0
Duke 2,Duke,17,ACC,27-6,6,0,0,0.8973,117,8,94.7,62,67.6,100,0.072,24,0.7348,5,106.6,8,96.5,7,0.7221,14,0,0,0,0,0,0
Lehigh 15,Lehigh,83,Pat,26-7,Not Ranked,0,1,0.7184,106.6,84,97.3,99,68.6,58,-0.035,253,0.3475,307,98,302,104.2,301,0.4032,283,1,0,0,0,0,0
Michigan St. 1,Michigan St.,3,B10,27-7,Not Ranked,0,1,0.9624,116.6,10,84.9,3,65.6,197,-0.037,255,0.756,2,107.4,6,96.2,3,0.4906,185,1,1,0,0,0,0
Long Island 16,Long Island,164,NEC,25-8,Not Ranked,0,1,0.4945,106.9,80,107.1,271,74.5,2,0.106,7,0.3517,303,97.7,310,103.7,283,0.444,226,0,0,0,0,0,0
Memphis 8,Memphis,9,CUSA,26-8,11,0,1,0.9309,114.2,19,88.6,11,68.3,69,-0.056,300,0.6309,60,103.4,69,98.1,48,0.6709,23,0,0,0,0,0,0
St. Louis 9,St. Louis,15,A10,25-7,Not Ranked,0,0,0.9055,110.4,38,88.6,10,62.8,303,-0.051,286,0.5819,96,102.8,98,99.5,100,0.4412,229,1,0,0,0,0,0
New Mexico 5,New Mexico,13,MWC,27-6,Not Ranked,0,1,0.9092,111,33,88.6,13,66.7,137,0.012,144,0.5494,118,102,129,100,123,0.3863,298,1,0,0,0,0,0
Long Beach St. 12,Long Beach St.,39,BW,25-8,Not Ranked,0,1,0.829,108.8,58,93.3,39,67.3,113,-0.038,259,0.5267,134,102.4,111,101.4,164,0.8301,2,0,0,0,0,0,0
Louisville 4,Louisville,20,BE,26-9,9,0,1,0.8881,103.7,123,84.7,2,67.7,99,0.021,120,0.7082,21,106.1,15,97.3,19,0.5166,151,1,1,1,1,0,0
Davidson 13,Davidson,67,SC,25-7,Not Ranked,0,1,0.7595,110.4,37,98.7,123,68.1,80,0.019,123,0.4355,213,100.2,210,102.8,230,0.7334,9,0,0,0,0,0,0
Murray St. 6,Murray St.,49,OVC,30-1,Not Ranked,0,1,0.7974,107.7,67,94.2,52,66,171,0.039,80,0.3987,268,100.1,215,104.2,299,0.6089,59,1,0,0,0,0,0
Colorado St. 11,Colorado St.,78,MWC,20-11,Not Ranked,0,0,0.7286,111.8,29,101.6,176,64.7,246,0.077,19,0.6267,64,103.3,72,98.2,52,0.5336,127,0,0,0,0,0,0
Marquette 3,Marquette,18,BE,25-7,22,0,0,0.8959,112.2,27,91,20,71.4,15,0.048,63,0.694,26,104.6,45,96.5,6,0.4949,182,1,1,0,0,0,0
Brigham Young 14,Brigham Young,47,WCC,26-8,Not Ranked,1,0,0.7999,104.6,109,91.3,21,73.4,5,0.021,119,0.5036,148,102.8,95,102.7,221,0.5065,166,0,0,0,0,0,0
Florida 7,Florida,19,SEC,23-10,8,0,0,0.8898,120.8,2,98.5,121,64.9,234,-0.035,252,0.682,30,104,62,96.6,8,0.5096,160,1,1,1,0,0,0
Virginia 10,Virginia,26,ACC,22-9,Not Ranked,0,0,0.8706,104.8,104,87,5,60.4,339,-0.044,268,0.5923,87,102.8,96,99.1,87,0.3562,311,0,0,0,0,0,0
Missouri 2,Missouri,8,B12,30-4,25,0,1,0.9382,125.4,1,96.2,76,66.3,152,0.033,89,0.6546,48,104.4,50,98.1,46,0.3521,314,0,0,0,0,0,0
Norfolk St. 15,Norfolk St.,213,MEAC,25-9,Not Ranked,0,1,0.3786,96.7,239,101.5,174,67.7,94,0.159,1,0.3036,331,97.3,317,105.6,338,0.5339,126,1,0,0,0,0,0
Syracuse 1,Syracuse,7,BE,31-2,5,0,0,0.9397,116.2,14,88.9,15,65.9,186,0.064,34,0.6734,37,105,39,97.8,35,0.4594,214,1,1,1,0,0,0
NC Asheville 16,NC Asheville,122,BSth,24-9,Not Ranked,0,1,0.6202,107.7,66,102.7,197,69.5,34,0.009,151,0.3926,269,99.9,228,104.3,302,0.6914,17,0,0,0,0,0,0
Kansas St. 8,Kansas St.,22,B12,21-10,Not Ranked,0,0,0.8799,109.7,46,90.4,18,67.2,115,-0.037,257,0.689,27,105.2,36,97.3,22,0.4108,269,1,0,0,0,0,0
Southern Mississippi 9,Southern Mississippi,74,CUSA,25-8,Not Ranked,0,0,0.737,109.4,51,99,130,64.9,228,0.051,57,0.6135,71,103.2,76,98.6,65,0.5483,113,0,0,0,0,0,0
Vanderbilt 5,Vanderbilt,16,SEC,24-10,7,0,1,0.902,114.8,18,92.5,31,65.5,198,-0.041,264,0.6954,25,106,17,97.8,32,0.569,92,1,0,0,0,0,0
Harvard 12,Harvard,40,Ivy,26-4,Not Ranked,0,1,0.8255,107.3,72,92.2,27,61.2,329,0.033,88,0.4766,176,99.4,256,100.3,128,0.5264,135,0,0,0,0,0,0
Wisconsin 4,Wisconsin,6,B10,24-9,15,0,0,0.9411,112.5,25,85.8,4,58.9,344,-0.01,200,0.7177,13,106.3,13,97,14,0.4199,257,1,1,0,0,0,0
Montana 13,Montana,95,BSky,25-6,Not Ranked,0,1,0.6995,101.7,156,93.6,44,65.6,193,0.041,75,0.3439,310,100.2,207,106.7,344,0.5021,175,0,0,0,0,0,0
Cincinnati 6,Cincinnati,30,BE,24-10,21,0,0,0.8529,109.6,49,92.3,28,63.7,281,0.012,143,0.628,61,103.1,84,97.9,39,0.28,338,1,1,0,0,0,0
Texas 11,Texas,27,B12,20-13,Not Ranked,0,0,0.8626,112.3,26,93.9,46,66,172,-0.057,302,0.7184,12,106.6,9,97.3,20,0.4917,184,0,0,0,0,0,0
Florida St. 3,Florida St.,21,ACC,24-9,Not Ranked,0,1,0.8828,107.9,63,88.6,14,67.7,97,0.039,81,0.7087,20,105.8,20,97.1,15,0.5717,91,1,0,0,0,0,0
St. Bonaventure 14,St. Bonaventure,51,A10,20-11,Not Ranked,0,1,0.7913,110.3,40,96.9,88,64.2,265,-0.01,197,0.5876,90,103.3,71,99.8,113,0.5016,176,0,0,0,0,0,0
Gonzaga 7,Gonzaga,31,WCC,25-6,23,0,0,0.8492,110,43,92.9,33,65.9,182,-0.009,194,0.5175,143,102.5,109,101.8,177,0.5242,139,1,0,0,0,0,0
West Virginia 10,West Virginia,42,BE,19-13,Not Ranked,0,0,0.8166,110.6,36,95.6,70,64.9,226,-0.028,238,0.6979,24,105.6,26,97.3,21,0.5425,116,0,0,0,0,0,0
Ohio St. 2,Ohio St.,1,B10,27-7,3,0,0,0.9666,117.1,7,84.3,1,67.9,84,-0.053,293,0.7328,8,107.6,5,97.5,25,0.4365,237,1,1,1,1,0,0
Loyola MD 15,Loyola MD,125,MAAC,24-8,Not Ranked,0,1,0.6097,102.9,139,98.5,120,64.1,266,0.11,6,0.4443,204,100.2,208,102.4,208,0.521,145,0,0,0,0,0,0
North Carolina 1,North Carolina,5,ACC,29-5,1,0,0,0.9427,116.5,12,88.6,12,72.2,9,0.014,138,0.6848,28,105.4,34,97.7,30,0.5787,86,1,1,1,0,0,0
Vermont 16,Vermont,109,AE,24-11,Not Ranked,1,1,0.6507,103.6,125,97.5,101,63.3,293,-0.029,242,0.3605,296,97.2,320,102.8,232,0.5002,179,0,0,0,0,0,0
