Name+Seed,Pure Text,Rank,Conference,W-L,AP_Preseason_Rank,First_Four_Team,AQ/Conference_Winner,AdjEM,AdjO,R_AdjO,AdjD,R_AdjD,AdjT,R_AdjT,Luck,R_Luck,AdjEM1,R_AdjEM1,OppO,R_OppO,OppD,R_OppD,AdjEM2,R_AdjEM2,W_64,W_32,W_16,W_8,W_4,W_2
Kentucky 1,Kentucky,1,SEC,34-0,1,0,1,0.9787,119.7,5,85.8,2,63.4,251,0.055,55,0.6679,41,105.3,50,99.1,33,0.5662,96,1,1,1,1,0,0
Hampton 16,Hampton,250,MEAC,16-17,Not Ranked,1,1,0.3127,95.6,302,102.3,170,69.5,16,0.022,134,0.3124,342,97.9,341,104.9,291,0.4887,186,0,0,0,0,0,0
Cincinnati 8,Cincinnati,34,Amer,22-10,Not Ranked,0,0,0.8242,106.7,76,93.3,18,60,341,-0.027,246,0.5699,99,102.2,161,99.8,57,0.5476,116,1,0,0,0,0,0
Purdue 9,Purdue,49,B10,21-12,Not Ranked,0,0,0.7825,108.5,57,97.1,69,64.5,180,0.01,159,0.6535,53,106.2,25,100.5,89,0.4189,275,0,0,0,0,0,0
West Virginia 5,West Virginia,25,B12,23-9,Not Ranked,0,0,0.8539,111.2,33,95.4,47,68.7,26,0.05,63,0.7073,15,106.3,22,98.4,16,0.4364,256,1,1,0,0,0,0
Buffalo 12,Buffalo,54,MAC,23-9,Not Ranked,0,1,0.7759,109.8,47,98.5,94,69.3,20,0.011,155,0.576,94,104.6,75,101.9,143,0.5951,62,0,0,0,0,0,0
Maryland 4,Maryland,33,B10,27-6,Not Ranked,0,0,0.8289,108.5,56,94.6,36,64.4,184,0.131,2,0.6493,58,105.6,40,100.1,74,0.4486,242,1,0,0,0,0,0
Valparaiso 13,Valparaiso,63,Horz,28-5,Not Ranked,0,1,0.7499,103.8,129,94.3,31,62.8,275,0.07,36,0.4372,204,102,175,104.3,262,0.4057,283,0,0,0,0,0,0
Butler 6,Butler,23,BE,22-10,Not Ranked,0,0,0.8624,107.5,67,91.7,10,63.8,231,-0.014,218,0.6833,30,107,10,100,70,0.4922,181,1,0,0,0,0,0
Texas 11,Texas,20,B12,20-13,10,0,0,0.8725,110.3,42,93.3,19,62.3,294,-0.071,325,0.7153,13,106.2,27,98,10,0.4778,201,0,0,0,0,0,0
Notre Dame 3,Notre Dame,10,ACC,29-5,Not Ranked,0,1,0.9127,122.2,2,99.7,112,64.1,204,0.064,45,0.6038,79,104.3,82,100.6,92,0.2417,347,1,1,1,0,0,0
Northeastern 14,Northeastern,120,CAA,23-11,Not Ranked,0,1,0.598,106,90,102.4,171,63.7,239,0.037,88,0.4609,181,102.1,167,103.5,222,0.5574,108,0,0,0,0,0,0
Wichita St. 7,Wichita St.,14,MVC,28-4,11,0,0,0.9044,113,20,92.9,15,62.1,298,0.018,138,0.5441,116,102,177,100.4,86,0.595,64,1,1,0,0,0,0
Indiana 10,Indiana,53,B10,20-13,Not Ranked,0,0,0.7762,116.6,10,104.7,216,66.6,84,-0.032,255,0.629,71,104.9,66,100.2,77,0.3699,317,0,0,0,0,0,0
Kansas 2,Kansas,11,B12,26-8,5,0,0,0.9111,110.8,37,90.5,7,67.4,55,0.079,24,0.7946,1,108.5,1,96.4,1,0.7299,11,1,0,0,0,0,0
New Mexico St. 15,New Mexico St.,88,WAC,23-10,Not Ranked,0,1,0.6674,104.1,120,97.9,87,63.7,233,-0.051,299,0.3475,326,99.3,315,104.9,296,0.5291,143,0,0,0,0,0,0
Wisconsin 1,Wisconsin,3,B10,31-3,3,0,1,0.9615,124.7,1,94.3,30,58.7,347,0.009,165,0.7039,18,106,31,98.4,15,0.6288,34,1,1,1,1,1,0
Coastal Carolina 16,Coastal Carolina,148,BSth,24-9,Not Ranked,0,1,0.5371,103.5,136,102.2,164,64.4,190,0.006,173,0.3445,329,100.4,282,106.1,338,0.4842,193,0,0,0,0,0,0
Oregon 8,Oregon,46,P12,25-9,Not Ranked,0,0,0.7972,113.3,16,100.6,134,66.5,87,0.127,4,0.6529,54,105.5,47,99.9,62,0.4332,260,1,0,0,0,0,0
