Name+Seed,Pure Text,Rank,Conference,W-L,AP_Preseason_Rank,First_Four_Team,AQ/Conference_Winner,AdjEM,AdjO,R_AdjO,AdjD,R_AdjD,AdjT,R_AdjT,Luck,R_Luck,AdjEM1,R_AdjEM1,OppO,R_OppO,OppD,R_OppD,AdjEM2,R_AdjEM2,W_64,W_32,W_16,W_8,W_4,W_2
Arkansas 3,Arkansas,18,SEC,22-6,Not Ranked,0,0,22.96,112.2,35,89.2,14,73.1,17,0.056,57,11.19,60,108.2,56,97,69,-5.28,282,1,1,1,0,0,0
Colgate 14,Colgate,84,Pat,14-1,Not Ranked,0,1,11.65,111.6,43,99.9,140,72.5,25,0.05,71,-6.6,313,99.1,283,105.7,328,-99,331,0,0,0,0,0,0
Florida 7,Florida,37,SEC,14-9,Not Ranked,0,0,18.98,111.7,40,92.7,37,68.7,165,0.003,166,14.62,23,109.7,27,95.1,25,8.64,76,1,0,0,0,0,0
Virginia Tech 10,Virginia Tech,50,ACC,15-6,Not Ranked,0,0,16.65,110.7,55,94.1,54,66.2,293,0.066,45,9.31,80,107.6,71,98.2,104,0.54,206,0,0,0,0,0,0
Ohio St. 2,Ohio St.,7,B10,21-9,23,0,0,26.85,123,4,96.1,79,67.1,247,0.003,163,18.78,5,111.7,8,92.9,3,2.86,162,0,0,0,0,0,0
Oral Roberts 15,Oral Roberts,152,Sum,16-10,Not Ranked,0,1,2.64,109.4,74,106.7,285,71.8,47,0.013,147,0.01,177,102.9,173,102.8,206,21.34,4,1,1,0,0,0,0
Illinois 1,Illinois,3,B10,23-6,8,0,1,32.04,119.7,7,87.6,5,70.7,80,0.03,110,18.88,3,112.6,2,93.7,9,9.95,57,1,0,0,0,0,0
Drexel 16,Drexel,146,CAA,12-7,Not Ranked,0,1,3.05,107.8,95,104.8,247,64.2,340,-0.043,273,-3.31,238,100.4,242,103.7,240,-5.56,289,0,0,0,0,0,0
Loyola Chicago 8,Loyola Chicago,9,MVC,24-4,Not Ranked,0,1,25.18,111.1,49,85.9,1,64.2,342,-0.02,226,4.11,134,104.3,136,100.2,136,4.7,129,1,1,0,0,0,0
Georgia Tech 9,Georgia Tech,32,ACC,17-8,Not Ranked,0,1,19.98,114,27,94.1,52,67.8,215,-0.005,192,12.25,50,108.7,47,96.5,51,-0.99,228,0,0,0,0,0,0
Tennessee 5,Tennessee,21,SEC,18-8,12,0,0,22.49,109.5,71,87,4,67.3,233,-0.007,199,12.44,49,108.3,54,95.8,40,-0.69,223,0,0,0,0,0,0
Oregon St. 12,Oregon St.,85,P12,17-12,Not Ranked,0,1,11.6,110,65,98.4,117,65.4,315,0.075,38,11.16,62,108.6,49,97.4,80,-6.2,292,1,1,1,0,0,0
Oklahoma St. 4,Oklahoma St.,30,B12,20-8,Not Ranked,0,0,20.2,110.8,54,90.6,22,72,43,0.039,89,14.63,22,110.6,16,96,42,4.55,134,1,0,0,0,0,0
Liberty 13,Liberty,97,ASun,23-5,Not Ranked,0,1,9.8,110.8,52,101,168,63.1,348,-0.013,211,-6.63,314,98.5,299,105.1,310,1.17,195,0,0,0,0,0,0
San Diego St. 6,San Diego St.,20,MWC,23-4,Not Ranked,0,1,22.72,111.5,44,88.8,11,66.1,298,0.018,134,6.26,109,105.7,102,99.4,121,10.85,49,0,0,0,0,0,0
Syracuse 11,Syracuse,41,ACC,16-9,Not Ranked,0,0,17.66,114.5,22,96.9,89,69.2,138,0.017,137,11.66,57,108.5,51,96.8,64,2.46,171,1,1,0,0,0,0
West Virginia 3,West Virginia,27,B12,18-9,15,0,0,21.75,116.8,11,95.1,65,69.6,114,-0.04,264,14.84,19,109.2,37,94.4,17,13.58,27,1,0,0,0,0,0
Morehead St. 14,Morehead St.,128,OVC,23-7,Not Ranked,0,1,5.32,100.9,214,95.5,72,65.6,312,0.152,3,-1.99,217,101.4,216,103.4,230,16.33,14,0,0,0,0,0,0
Clemson 7,Clemson,42,ACC,16-7,Not Ranked,0,0,17.59,107.6,99,90,20,64.2,338,0.123,7,14.19,29,109.5,33,95.3,30,11.65,42,0,0,0,0,0,0
Rutgers 10,Rutgers,34,B10,15-11,24,0,0,19.57,109.3,75,89.8,18,67.8,213,0.032,104,18.2,7,112.4,4,94.2,13,-5.43,285,1,0,0,0,0,0
Houston 2,Houston,6,Amer,24-3,17,0,1,30.25,119.6,8,89.4,16,64.9,327,-0.009,201,6.57,106,103.7,151,97.1,74,1.63,186,1,1,1,1,0,0
Cleveland St. 15,Cleveland St.,151,Horz,19-7,Not Ranked,0,1,2.8,101.5,199,98.7,121,66.3,282,0.19,1,-1.09,199,105,114,106.1,337,21.21,6,0,0,0,0,0,0
