Name+Seed,Pure Text,Rank,Conference,W-L,AP_Preseason_Rank,First_Four_Team,AQ/Conference_Winner,AdjEM,AdjO,R_AdjO,AdjD,R_AdjD,AdjT,R_AdjT,Luck,R_Luck,AdjEM1,R_AdjEM1,OppO,R_OppO,OppD,R_OppD,AdjEM2,R_AdjEM2,W_64,W_32,W_16,W_8,W_4,W_2
Kansas 1,Kansas,1,B12,30-4,4,0,1,0.9503,118.9,8,92,5,69.7,127,0.062,39,0.763,2,109.6,6,99,4,0.5782,93,1,1,1,0,0,0
Austin Peay 16,Austin Peay,212,OVC,18-17,Not Ranked,0,1,0.3819,104.4,166,108.9,274,70.4,98,0.058,45,0.4289,230,104.2,146,106.8,320,0.5427,133,0,0,0,0,0,0
Colorado 8,Colorado,55,P12,22-11,Not Ranked,0,0,0.7788,106.6,115,95.5,26,69.8,124,0.026,106,0.6654,50,108,30,101.8,81,0.4454,247,0,0,0,0,0,0
Connecticut 9,Connecticut,25,Amer,24-10,20,0,1,0.8677,110.4,62,93.7,13,66.3,298,-0.04,276,0.6068,77,105.5,86,101.6,76,0.4586,232,1,0,0,0,0,0
Maryland 5,Maryland,23,B10,25-8,3,0,0,0.8725,113.8,26,96.3,37,68,221,0.006,165,0.6789,39,107.3,49,100.5,27,0.4759,211,1,1,0,0,0,0
South Dakota St. 12,South Dakota St.,80,Sum,26-7,Not Ranked,0,1,0.7209,109.1,79,100.5,108,68.9,164,0.015,132,0.4942,159,103.4,182,103.6,148,0.5618,106,0,0,0,0,0,0
California 4,California,21,P12,23-10,14,0,0,0.8767,111.3,47,93.8,15,68.8,181,-0.051,297,0.6769,40,108.2,27,101.4,70,0.4593,230,0,0,0,0,0,0
Hawaii 13,Hawaii,61,BW,27-5,Not Ranked,0,1,0.7635,107,105,96.6,41,71.2,67,0.009,152,0.4064,256,100.8,313,104.2,172,0.2975,342,1,0,0,0,0,0
Arizona 6,Arizona,16,P12,25-8,12,0,0,0.8927,116.1,17,96.5,40,69.2,151,-0.033,262,0.6304,70,106.1,69,101.3,63,0.3871,304,0,0,0,0,0,0
Wichita St. 11,Wichita St.,12,MVC,24-8,10,1,0,0.9005,108.9,81,89.9,1,67,267,-0.08,333,0.5367,122,102.1,261,100.8,39,0.6524,26,1,0,0,0,0,0
Miami FL 3,Miami FL,13,ACC,25-7,Not Ranked,0,0,0.8971,117.2,12,97.1,44,66.8,281,0.054,53,0.7335,11,109.5,7,100.3,23,0.5401,136,1,1,0,0,0,0
Buffalo 14,Buffalo,131,MAC,20-14,Not Ranked,0,1,0.5727,105.1,148,102.5,148,73,25,0.055,49,0.5318,126,105.7,82,104.5,190,0.5618,105,0,0,0,0,0,0
Iowa 7,Iowa,20,B10,21-10,Not Ranked,0,0,0.8832,114.4,25,95.9,31,69.9,116,-0.099,342,0.687,33,108.3,24,101.2,56,0.5254,152,1,0,0,0,0,0
Temple 10,Temple,86,Amer,21-11,Not Ranked,0,0,0.703,105.1,150,97.5,52,66.9,275,0.113,10,0.632,66,106,71,101.1,54,0.5694,103,0,0,0,0,0,0
